Israel06HS_2020-06-15T00-51-42_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0516778761843018,0.21173642022655448,0.03547569709228026,1.0516778761843018,0.21173642022655448,0.03547569709228026,1.100766753716697,0.09473425993805724,0.03981067160699349,1.100766753716697,0.09473425993805724,0.03981067160699349,0.2875,-0.5952808639844158,1.9457204334042725e-17,0.08790484689808338,-0.8359980684761178,0.0036616545132422363,1.0304058005310106,0.2508340030270429,0.03930376908285879,1.0304058005310106,0.2508340030270429,0.03930376908285879,0.18677016258239745,0.020347132671727722
Ver,1.0457021385899,0.2048512141717066,0.03209018315262474,1.046407352413622,0.2056637569603327,0.0318247160935293,1.0983080525201037,0.09228903307616919,0.036980437589530304,1.098740104687984,0.09271871748357177,0.03660116764956254,0.21739130434782608,-0.6939741882679893,1.8504661120201635e-17,0.08023609239952005,-0.8503054769356878,0.003932677578549671,1.0303456842164174,0.25087771114546903,0.0393147155030664,1.0289518572202574,0.2518911058591322,0.03995744367882001,0.11985308647155762,0.025571299688041036
HighestScatter,1.0554978198876788,0.2161377345580788,0.0353709112251782,1.0564893112506035,0.2172801244685284,0.03463544238031385,1.113413858089781,0.10731205482464848,0.03701408733618303,1.1141579270558857,0.10805204609546146,0.03587728649567647,0.5473803977908129,-0.22944235942342744,0.1626729627671669,0.3298667276212421,-0.3845756817247173,0.22775315600815985,1.0346865604390811,0.24772163723612942,0.04787778317907754,1.0322387646214468,0.249501329657464,0.047500450910836635,0.10173366069793702,0.025645708006950974
MostValuableMargin,1.0677861091107779,0.23029622161110228,0.03961076144995753,1.0677861091107779,0.23029622161110228,0.03961076144995753,1.1222234611620183,0.11607337893538364,0.040936730551810005,1.1222234611620183,0.11607337893538364,0.040936730551810005,0.548631082122791,-0.2276817476590226,0.16686537429903534,0.3057886183975702,-0.4294976235683051,0.223621448053502,1.0172534766268726,0.26039652086717635,0.027198157448474296,1.0172534766268726,0.26039652086717635,0.027198157448474296,0.024173502922058106,0.03215985773059227
LargestMargin,1.0723904326042075,0.23560129324362156,0.04298311692768971,1.0723904326042075,0.23560129324362156,0.04298311692768971,1.1226543119690493,0.11650186856571287,0.04167650651519678,1.1226543119690493,0.11650186856571287,0.04167650651519678,0.6203594524727962,-0.12670837696037926,0.136376468731476,0.4213106430969457,-0.21397099616614423,0.19923996987121692,1.0178115967327654,0.2599907345203348,0.029178360423822658,1.0178115967327654,0.2599907345203348,0.029178360423822658,0.01631354808807373,0.03378076690206537
VerHor,1.050569536420431,0.2104593983472504,0.03639353857642154,1.055037462408178,0.21560731365937288,0.03793144765992513,1.1063563614547016,0.10029323514306551,0.03670883812499475,1.109869969183177,0.10378758736923671,0.03621400090115134,0.6574033425646176,-0.07456099889909848,0.02554316588474718,0.5087691761961681,-0.05080174142473592,0.05501438832992317,1.054134090644459,0.23358213186119328,0.05616768856726112,1.0470328273852456,0.23874517050734065,0.05480216374474291,0.013418011665344239,0.03577529570760826
HorVer,1.064325855410448,0.22630933976556403,0.04260838577378885,1.065791092925917,0.22799757691686529,0.042747847206972,1.116965688352493,0.11084442011543046,0.04358695382355566,1.1191867476842068,0.11305330745289087,0.04303918298387138,0.7089721397481582,-0.001966637015670888,0.01062043622517343,0.5351095399723566,-0.001659166370313176,0.014522022818933781,1.03589931667994,0.24683989167743792,0.04400844787875553,1.0333184890005513,0.24871630613516726,0.04282866553918255,0.02518427848815918,0.03766341658510923
SmallestPiece,1.047171453886438,0.20654414971587814,0.03392788127485039,1.0474074702113412,0.20681608619293967,0.033663178207405095,1.1002167257273208,0.0941872462479527,0.03692306532034731,1.1004635821970064,0.09443274987870799,0.03652193979722842,0.4931145899855809,-0.30583335368471876,0.007978546397706308,0.10109097105148396,-0.8113970378528728,0.00657379525843779,1.03372124653587,0.24842347757157618,0.03996434670759798,1.0329807738166186,0.24896184506005833,0.04024392540802803,0.0004447603225708008,4.228817570327708e-05
SquarePiece,1.064325855410448,0.22630933976556403,0.04260838577378885,1.065791092925917,0.22799757691686529,0.042747847206972,1.116965688352493,0.11084442011543046,0.04358695382355566,1.1191867476842068,0.11305330745289087,0.04303918298387138,0.7089721397481582,-0.001966637015670888,0.01062043622517343,0.5351095399723566,-0.001659166370313176,0.014522022818933781,1.03589931667994,0.24683989167743792,0.04400844787875553,1.0333184890005513,0.24871630613516726,0.04282866553918255,0.000755319595336914,5.8175628083909715e-05
SmallestHalfCut,1.0457021385899,0.2048512141717066,0.03209018315262474,1.046407352413622,0.2056637569603327,0.0318247160935293,1.0983080525201037,0.09228903307616919,0.036980437589530304,1.098740104687984,0.09271871748357177,0.03660116764956254,0.21739130434782608,-0.6939741882679893,1.8504661120201635e-17,0.08023609239952005,-0.8503054769356878,0.003932677578549671,1.0303456842164174,0.25087771114546903,0.0393147155030664,1.0289518572202574,0.2518911058591322,0.03995744367882001,0.0004004430770874023,3.799767161125906e-05
Summary,LargestMargin,LargestMargin, ,LargestMargin,LargestMargin, ,LargestMargin,LargestMargin, ,LargestMargin,LargestMargin, ,HorVer,HorVer, ,HorVer,HorVer, ,MostValuableMargin,VerHor, ,MostValuableMargin,VerHor, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0458185226534875,0.37241676931266265,0.02129921703414898,1.0469415896881848,0.37389055850083863,0.020573504125310973,1.130216851958261,0.13242985819836012,0.03137128407420407,1.1307201474767268,0.13293413918799554,0.030928818727217863,0.14375,-0.6664654408701464,1.0771604011294943e-17,0.0377052327936803,-0.7475570274263816,0.0019478266896024925,1.0794409052321479,0.3362592620004167,0.052986381266797306,1.0789945146752942,0.33653374446277845,0.05334388755995145,0.4274589157104492,0.070637467356248
Ver,1.0417409156066997,0.36706576799794094,0.02183612380376871,1.0420969467342565,0.3675329839434154,0.02158034722198115,1.1328180619355461,0.13503616144062502,0.028627275471764697,1.132938008086957,0.13515634245101998,0.02869764568770763,0.10869565217391304,-0.7477999552893356,8.69158325342804e-18,0.03632584713994797,-0.7567922499393681,0.0016365901399382396,1.0691381720288515,0.3425943413054742,0.03650338734274506,1.0687743294092955,0.3428180656127978,0.03670417562657339,0.274456582069397,0.03254211812514254
HighestScatter,1.0586438668000915,0.3892473350348547,0.024007740537105037,1.0611517628071767,0.39253842087935015,0.02265188854481118,1.1586254185709934,0.16089404983126226,0.03115489933780022,1.1621489693610179,0.1644244998635623,0.031130954251198037,0.476597345700981,0.10582042143189675,0.056680550850191955,0.10967703709501848,-0.2656935068181285,0.02019462312999117,1.0912272445699869,0.3290119235565134,0.05963656647367993,1.0860196013540415,0.332214067309484,0.05990107331613696,0.394500675201416,0.07497977138490129
MostValuableMargin,1.067009986170077,0.4002261064648229,0.02724725108691432,1.067659733763813,0.4010787634738049,0.02659959567767199,1.166467784331175,0.16875177123256208,0.03314774922559442,1.1670357176185187,0.1693208165542084,0.03282008133854261,0.44098498031666333,0.023191172123864363,0.07236118640558578,0.10493008028975725,-0.29747519327941885,0.03454859350407814,1.0719069314124547,0.3408918503328713,0.050777059135268345,1.0712526485994245,0.34129416430399856,0.05108221691381467,0.25832812309265135,0.13001460713393745
LargestMargin,1.0664500779209711,0.39949134469334485,0.025801219085252423,1.0668929737474735,0.400072552279732,0.025766262480841476,1.1638495007359013,0.16612836094153555,0.033070075229533334,1.1644346372676848,0.16671464319220822,0.03305809229620325,0.4440445179248541,0.030290034922397353,0.06983859826518904,0.11199721547576931,-0.25015951633615074,0.025968643546263406,1.082327361971234,0.334484399738927,0.06140593330600287,1.0813709216425236,0.33507250827414525,0.06196475905042574,0.1938147211074829,0.09022869013961643
