
NumberOfAgents,NoiseProportion,Algorithm,Method,egalitarianGain_Avg,egalitarianGain_StDev,egalitarianGain_interval,ttc_egalitarianGain_Avg,ttc_egalitarianGain_StDev,ttc_egalitarianGain_interval,utilitarianGain_Avg,utilitarianGain_StDev,utilitarianGain_interval,ttc_utilitarianGain_Avg,ttc_utilitarianGain_StDev,ttc_utilitarianGain_interval,averageFaceRatio_Avg,averageFaceRatio_StDev,averageFaceRatio_interval,largestFaceRatio,smallestFaceRatio_Avg,smallestFaceRatio_StDev,smallestFaceRatio_interval,averageInheritanceGain,largestInheritanceGain,largestEnvy_Avg,largestEnvy_StDev,largestEnvy_interval,ttc_largestEnvy_Avg,ttc_largestEnvy_StDev,ttc_largestEnvy_interval,experimentDurationSec_Avg,experimentDurationSec_StDev,experimentDurationSec_interval,experiment,dishonestAgent,relativeValues,ttc_relativeValues,comment
4,0.6,Honest_EvenPaz,Hor,1.0516778761843018,0.03547569709228026,0.11289950113871099,1.0516778761843018,0.03547569709228026,0.11289950113871099,1.100766753716697,0.03981067160699349,0.12669532476656153,1.100766753716697,0.03981067160699349,0.12669532476656153,0.2875,1.9457204334042725e-17,6.192150804403521e-17,0,0.08790484689808338,0.0036616545132422363,0.011653018876895202,0,0,1.0304058005310106,0.03930376908285879,0.1250821347014898,1.0304058005310106,0.03930376908285879,0.1250821347014898,0.18677016258239745,0.020347132671727722,0.06475365719426861,450,,"{'215': 0.26563651212387535, '450': 0.26422805912514236, '639': 0.2639801028172779, '838': 0.26845150328385214}","{'215': 0.26563651212387535, '450': 0.26422805912514236, '639': 0.2639801028172779, '838': 0.26845150328385214}",
4,0.6,Assessor,Assessor,0.8679097686835829,0.08850680086053972,0.28166814139115465,0.9603943730315675,0.08388630876582169,0.26696367339572413,1.005510464045385,0.07557193761031797,0.24050363363112925,1.0958100842451253,0.051350213132410415,0.16341929605879896,0.7103691780685395,0.0,0.0,0,0.5359988512408619,0.0,0.0,0,0,1.3754038553463679,0.17250890285223935,0.549000320510751,1.2226266715928094,0.1550418159125024,0.4934122542153061,0.06450840473175048,0.06845136786931297,0.21784280276734896,450,,"{'215': 0.28984813504751394, '450': 0.2304157495866694, '639': 0.27670626575751084, '838': 0.2645575825671367}","{'215': 0.28984813504751394, '450': 0.2304157495866694, '639': 0.27670626575751084, '838': 0.2645575825671367}",
4,0.6,Honest_HighestBidder,HighestBidder,0.5178399404590148,0.20888300847956834,0.6647589585724636,0.5178399404590148,0.20888300847956834,0.6647589585724636,1.149023360631272,0.04393167962922559,0.1398102115209609,1.149023360631272,0.04393167962922559,0.1398102115209609,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,12.834308443069459,1.2517976900542678,3.983778933676579,450,,"{'639': 0.4079817375079865, '215': 0.25748148593527703, '838': 0.2920719394746679, '450': 0.1321536108136982}","{'639': 0.4079817375079865, '215': 0.25748148593527703, '838': 0.2920719394746679, '450': 0.1321536108136982}",
4,0.6,Integrated_Honest_EvenPaz,Hor,0.21173642022655448,0.03547569709228026,0.11289950113871099,0.21173642022655448,0.03547569709228026,0.11289950113871099,0.09473425993805724,0.03981067160699349,0.12669532476656153,0.09473425993805724,0.03981067160699349,0.12669532476656153,-0.5952808639844158,1.9457204334042725e-17,6.192150804403521e-17,0,-0.8359980684761178,0.0036616545132422363,0.011653018876895202,0,0,-0.2508340030270429,0.03930376908285879,0.1250821347014898,-0.2508340030270429,0.03930376908285879,0.1250821347014898,1.8952841627235402,0.020347132671727722,0.06475365719426861,450,,"{'215': 0.26563651212387535, '450': 0.26422805912514236, '639': 0.2639801028172779, '838': 0.26845150328385214}","{'215': 0.26563651212387535, '450': 0.26422805912514236, '639': 0.2639801028172779, '838': 0.26845150328385214}",
8,0.6,Honest_EvenPaz,Hor,1.0458185226534875,0.02129921703414898,0.05036464512648034,1.0469415896881848,0.020573504125310973,0.04864860678297076,1.130216851958261,0.03137128407420407,0.07418129910719613,1.1307201474767268,0.030928818727217863,0.07313503481748086,0.14375,1.0771604011294943e-17,2.547079606738784e-17,0,0.0377052327936803,0.0019478266896024925,0.004605878226999164,0,0,1.0794409052321479,0.052986381266797306,0.12529288211674672,1.0789945146752942,0.05334388755995145,0.12613825016742783,0.4274589157104492,0.070637467356248,0.16703106834053238,850,,"{'1003': 0.14042756459218225, '112': 0.1565861390020183, '154': 0.13476577857759914, '503': 0.13653672436029807, '719': 0.17908433607005994, '727': 0.14314423040915325, '747': 0.14623178420802488, '924': 0.1418773719127509}","{'1003': 0.14042756459218225, '112': 0.1565861390020183, '154': 0.13476577857759914, '503': 0.13653672436029807, '719': 0.17908433607005994, '727': 0.14314423040915325, '747': 0.14623178420802488, '924': 0.1418773719127509}",
8,0.6,Assessor,Assessor,0.7620269192551888,0.07661719017331307,0.1811708659280841,0.9120980528132393,0.11908982798055022,0.28160269529145393,0.9980457895700313,0.03831149169596185,0.09059228235665108,1.1292101870947329,0.04534730550545392,0.1072293383161692,0.43098982118981677,2.4287544723188684e-17,5.743091724994919e-17,0,0.14936138807621016,0.0,0.0,0,0,1.6262990101909724,0.15590193820987866,0.36864950387058826,1.3866167537449987,0.22926024886496096,0.5421143442587432,0.32427603721618653,0.056268998170556125,0.13305503765415116,850,,"{'1003': 0.12659940885284868, '112': 0.14266002816502305, '154': 0.12383898850440536, '503': 0.14094617317234023, '719': 0.10913651221336586, '727': 0.13493104643326553, '747': 0.1070908605783937, '924': 0.14655979865583546}","{'1003': 0.14132804423034614, '112': 0.14407596371747866, '154': 0.128369271140966, '503': 0.14094617317234023, '719': 0.1838567411213551, '727': 0.14746933460326905, '747': 0.16822495526878878, '924': 0.14655979865583546}",
8,0.6,Honest_HighestBidder,HighestBidder,0.2657095569512054,0.15845601517477476,0.37468893620072835,0.2657095569512054,0.15845601517477476,0.37468893620072835,1.2061156788149046,0.03286204210915041,0.07770638170901871,1.2061156788149046,0.03286204210915041,0.07770638170901871,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,23.95375264644623,2.2571431965362327,5.337295540532482,850,,"{'154': 0.15891342906002753, '924': 0.04495747720067573, '1003': 0.09319776994245509, '503': 0.06817042248474878, '719': 0.3361831389339178, '727': 0.10885018949622485, '747': 0.4161505049844138, '112': 0.03666802964062581}","{'154': 0.15891342906002753, '924': 0.04495747720067573, '1003': 0.09319776994245509, '503': 0.06817042248474878, '719': 0.3361831389339178, '727': 0.10885018949622485, '747': 0.4161505049844138, '112': 0.03666802964062581}",
8,0.6,Integrated_Honest_EvenPaz,Hor,0.37241676931266265,0.02129921703414898,0.05036464512648034,0.37389055850083863,0.020573504125310973,0.04864860678297076,0.13242985819836012,0.03137128407420407,0.07418129910719613,0.13293413918799554,0.030928818727217863,0.07313503481748086,-0.6664654408701464,1.0771604011294943e-17,2.547079606738784e-17,0,-0.7475570274263816,0.0019478266896024925,0.004605878226999164,0,0,-0.3362592620004167,0.052986381266797306,0.12529288211674672,-0.33653374446277845,0.05334388755995145,0.12613825016742783,0.31819458317073634,0.070637467356248,0.16703106834053238,850,,"{'1003': 0.14042756459218225, '112': 0.1565861390020183, '154': 0.13476577857759914, '503': 0.13653672436029807, '719': 0.17908433607005994, '727': 0.14314423040915325, '747': 0.14623178420802488, '924': 0.1418773719127509}","{'1003': 0.14042756459218225, '112': 0.1565861390020183, '154': 0.13476577857759914, '503': 0.13653672436029807, '719': 0.17908433607005994, '727': 0.14314423040915325, '747': 0.14623178420802488, '924': 0.1418773719127509}",
16,0.6,Honest_EvenPaz,Hor,1.0532057610003618,0.023031836427038585,0.049091197285808054,1.0539788438079396,0.02261022268196589,0.04819254886047129,1.150900483266778,0.019237037450270708,0.041002774731287175,1.15186389328502,0.01905034553734231,0.040604850338316345,0.071875,5.987142872961038e-18,1.2761292955771543e-17,0,0.016456805954239453,0.0008809736125473387,0.00187775080611378,0,0,1.0978221013033216,0.0426641925405667,0.09093657380224635,1.0973228073348158,0.04305529267255075,0.09177018400083195,0.9581087398529052,0.14620845703829355,0.3116359493112006,1650,,"{'111': 0.06872052244631328, '216': 0.07500471261072615, '352': 0.068738326451917, '474': 0.07275036429792348, '526': 0.07314855785874735, '65': 0.07758249789328267, '656': 0.07552846471711717, '693': 0.07206092583551013, '744': 0.07380826014594957, '745': 0.07233105902935953, '802': 0.0749386897693351, '808': 0.06919157388344685, '816': 0.06986503369755838, '852': 0.07045504566283323, '921': 0.0713445650100525, '961': 0.07335791479369393}","{'111': 0.06872052244631328, '216': 0.07500471261072615, '352': 0.068738326451917, '474': 0.07275036429792348, '526': 0.07314855785874735, '65': 0.07758249789328267, '656': 0.07552846471711717, '693': 0.07206092583551013, '744': 0.07380826014594957, '745': 0.07233105902935953, '802': 0.0749386897693351, '808': 0.06919157388344685, '816': 0.06986503369755838, '852': 0.07045504566283323, '921': 0.0713445650100525, '961': 0.07335791479369393}",
16,0.6,Assessor,Assessor,0.7133841343136477,0.057859856414903384,0.1233253646616735,0.8947848731347116,0.10997800734990743,0.23441257378748007,0.9992769625769194,0.03978507945421337,0.08479988952272464,1.173742363250406,0.030291169720494684,0.06456409993520872,0.45242230928730875,1.7410278298490963e-17,3.7109129767379904e-17,0,0.16897498511982706,0.0,0.0,0,0,1.7770800540013156,0.07582474062720893,0.161616608952018,1.503506625763346,0.24570090877508277,0.5236990903521629,0.5619737005233765,0.04674712254176766,0.09963913309785666,1650,,"{'111': 0.05735895252669805, '216': 0.0776054874398647, '352': 0.06302780554445028, '474': 0.06125205354158209, '526': 0.053802440529747336, '65': 0.04427851965024104, '656': 0.06697099920104768, '693': 0.061741701885089526, '744': 0.07316706874195357, '745': 0.07547189508087057, '802': 0.06779520666645145, '808': 0.06686224294606202, '816': 0.07194063079389162, '852': 0.07969582779019099, '921': 0.06844090860219837, '961': 0.06315571706991187}","{'111': 0.07396988262516782, '216': 0.0776054874398647, '352': 0.06302780554445028, '474': 0.06125205354158209, '526': 0.09646736047805074, '65': 0.07509593344883873, '656': 0.06697099920104768, '693': 0.07151580497522321, '744': 0.07918139987310804, '745': 0.07547189508087057, '802': 0.07857187253227839, '808': 0.06686224294606202, '816': 0.07194063079389162, '852': 0.07969582779019099, '921': 0.06844090860219837, '961': 0.06315571706991187}",
16,0.6,Honest_HighestBidder,HighestBidder,0.17610309004393307,0.1186135484851047,0.25281879401575513,0.17610309004393307,0.1186135484851047,0.25281879401575513,1.2560376297435218,0.016140447010411552,0.03440254844546604,1.2560376297435218,0.016140447010411552,0.03440254844546604,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,47.001944460868835,4.427122165376628,9.436187527527618,1650,,"{'111': 0.1640214974439516, '216': 0.10657445438056681, '808': 0.022344761712604435, '474': 0.0384005324081229, '526': 0.033585281501813176, '352': 0.006068588534111888, '816': 0.0724445566721585, '693': 0.05073795264270081, '961': 0.022314506496628188, '802': 0.18634090118234534, '921': 0.009975297653681258, '744': 0.20513047055836214, '656': 0.20561864019300707, '745': 0.01556305802502062, '852': 0.015478418195705524, '65': 0.10239367742195246}","{'111': 0.1640214974439516, '216': 0.10657445438056681, '808': 0.022344761712604435, '474': 0.0384005324081229, '526': 0.033585281501813176, '352': 0.006068588534111888, '816': 0.0724445566721585, '693': 0.05073795264270081, '961': 0.022314506496628188, '802': 0.18634090118234534, '921': 0.009975297653681258, '744': 0.20513047055836214, '656': 0.20561864019300707, '745': 0.01556305802502062, '852': 0.015478418195705524, '65': 0.10239367742195246}",
