Israel06HS_2020-06-15T00-51-42_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,0.9999999999999998,0.152193506839734,7.796960927741553e-16,0.9999999999999998,0.152193506839734,7.796960927741553e-16,1.0974486326558979,0.09143432306077247,0.03868918501068368,1.0974486326558979,0.09143432306077247,0.03868918501068368,0.2875,-0.5952808639844158,2.1543208022589886e-17,0.08534797399711107,-0.8407683639628581,0.004271757924240814,1.1514005303658097,0.1628636739019082,0.09246049924206354,1.1514005303658097,0.1628636739019082,0.09246049924206354,0.12249162197113037,0.018258177617298994
Ver,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.094713181365423,0.08871386276892268,0.03781185385437242,1.094713181365423,0.08871386276892268,0.03781185385437242,0.21739130434782608,-0.6939741882679893,1.4835979218054374e-17,0.07836988196358984,-0.8537872202857152,0.004380321207275027,1.111379372587293,0.19196142408120973,0.06574230119952107,1.111379372587293,0.19196142408120973,0.06574230119952107,0.08993330955505371,0.01344396234860557
HighestScatter,1.0,0.15219350683973426,5.92374261599229e-16,1.0,0.15219350683973426,5.92374261599229e-16,1.1143513012948627,0.10824436059231815,0.03953303693675994,1.1143513012948627,0.10824436059231815,0.03953303693675994,0.5382224068743857,-0.24233423480198393,0.11224449603920436,0.23887410647617566,-0.5543383984440057,0.10310064818254766,1.1685504240315534,0.15039468626669117,0.09034560643999534,1.1685504240315534,0.15039468626669117,0.09034560643999534,0.10955248355865478,0.032285582479059695
MostValuableMargin,1.0,0.15219350683973426,6.57486678694082e-16,1.0,0.15219350683973426,6.57486678694082e-16,1.117554831262664,0.11143033436618896,0.040491979561409125,1.117554831262664,0.11143033436618896,0.040491979561409125,0.4949941520690672,-0.30318745892814053,0.15245932104833582,0.19639498433133376,-0.6335906618518484,0.11189287465363666,1.1603897008050317,0.15632801500850033,0.09218976558338035,1.1603897008050317,0.15632801500850033,0.09218976558338035,0.035816679000854494,0.030046991669089203
LargestMargin,1.0,0.15219350683973426,6.387637947027198e-16,1.0,0.15219350683973426,6.387637947027198e-16,1.1177816433169316,0.11165590343023943,0.04190458668747463,1.1177816433169316,0.11165590343023943,0.04190458668747463,0.5570397359257173,-0.21584472817319827,0.11843814734710144,0.25038350941416226,-0.5328655857479676,0.09988853974703649,1.1596889317321246,0.15683751559640627,0.10310666018925643,1.1596889317321246,0.15683751559640627,0.10310666018925643,0.01630042552947998,0.03125552258569566
VerHor,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.1111133285141999,0.10502413276133588,0.04110953485583141,1.1111133285141999,0.10502413276133588,0.04110953485583141,0.6128128118287537,-0.1373319243735166,0.02226060578482734,0.31057364008756194,-0.42057032516288095,0.011035829133782453,1.1892157057140837,0.1353698035006572,0.0991494528782911,1.1892157057140837,0.1353698035006572,0.0991494528782911,0.004539790153503418,0.012105995886300977
HorVer,0.9999999999999998,0.152193506839734,7.796960927741553e-16,0.9999999999999998,0.152193506839734,7.796960927741553e-16,1.1016765667454187,0.09563908695006203,0.037912630852056504,1.1016765667454187,0.09563908695006203,0.037912630852056504,0.5886383849904039,-0.1713627179167823,0.008365590754153066,0.37288471550844654,-0.3043180696279454,0.026768995535839835,1.1752279349676866,0.14553974063732064,0.07935604624989068,1.1752279349676866,0.14553974063732064,0.07935604624989068,0.041591854095458985,0.030850733072115354
SmallestPiece,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.0946343544626596,0.08863546785849453,0.037856916164651463,1.0946343544626596,0.08863546785849453,0.037856916164651463,0.21739130434782608,-0.6939741882679893,1.6213259544659314e-17,0.07836988196358984,-0.8537872202857152,0.004380321207275027,1.1238605968611812,0.1828868353883162,0.06918053123950521,1.1238605968611812,0.1828868353883162,0.06918053123950521,0.044492268562316896,0.03476272901989312
SquarePiece,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.1115550902226448,0.10546347349844526,0.041670111842415904,1.1115550902226448,0.10546347349844526,0.041670111842415904,0.6070675128306183,-0.145419689405435,0.02322463617059731,0.3083763051040898,-0.42466983951516957,0.01306434009198036,1.1705682813628777,0.1489275845689021,0.09605767287272084,1.1705682813628777,0.1489275845689021,0.09605767287272084,0.0033518457412719726,0.00480427049087918
SmallestHalfCut,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.0000000000000002,0.1521935068397345,5.743278924071838e-16,1.0944686234181036,0.08847064506402137,0.03764635630872585,1.0944686234181036,0.08847064506402137,0.03764635630872585,0.21739130434782608,-0.6939741882679893,1.5212693084014054e-17,0.07836988196358984,-0.8537872202857152,0.004380321207275027,1.1262212876233848,0.18117047349720528,0.0726736879140883,1.1262212876233848,0.18117047349720528,0.0726736879140883,0.0020267200469970704,0.0018501972473620716
Summary,Ver,Ver, ,Ver,Ver, ,LargestMargin,LargestMargin, ,LargestMargin,LargestMargin, ,VerHor,VerHor, ,HorVer,HorVer, ,Ver,VerHor, ,Ver,VerHor, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,0.9999999999999999,0.3122895986107785,8.221832971821312e-16,0.9999999999999999,0.3122895986107785,8.221832971821312e-16,1.1253573412063123,0.12756083234530563,0.03167230677566179,1.1253573412063123,0.12756083234530563,0.03167230677566179,0.14375,-0.6664654408701464,9.111065309411635e-18,0.0345497675313148,-0.7686834062248663,0.0028225062509191715,1.1614665107364124,0.2858222851651222,0.052590902758172464,1.1614665107364124,0.2858222851651222,0.052590902758172464,0.26555184841156004,0.0422264550896903
Ver,1.0,0.31228959861077865,6.171930385296009e-16,1.0,0.31228959861077865,6.171930385296009e-16,1.1288997544151549,0.1311101817297349,0.028222913898151174,1.1288997544151549,0.1311101817297349,0.028222913898151174,0.10869565217391304,-0.7477999552893356,8.727685519950425e-18,0.035988838342960384,-0.7590485813870621,0.00135603282904195,1.1602625310849701,0.2865626039157933,0.06599983374144672,1.1602625310849701,0.2865626039157933,0.06599983374144672,0.22039177417755126,0.04172393360581754
HighestScatter,1.0,0.31228959861077865,6.4862346559162e-16,1.0,0.31228959861077865,6.4862346559162e-16,1.1525399098764657,0.15479662548648404,0.03461290563883648,1.1525399098764657,0.15479662548648404,0.03461290563883648,0.36564336730769836,-0.15161948303493342,0.035863360211274786,0.05584407053353183,-0.6261144111419349,0.023079836777658517,1.2067230719963986,0.2579943390270551,0.0621494912752756,1.2067230719963986,0.2579943390270551,0.0621494912752756,0.40201592922210694,0.14748928341897444
MostValuableMargin,1.0,0.31228959861077865,7.334574771279921e-16,1.0,0.31228959861077865,7.334574771279921e-16,1.1578542892107437,0.16012141057131218,0.034950768005382396,1.1578542892107437,0.16012141057131218,0.034950768005382396,0.34179163539937585,-0.20696123528902602,0.05562028140163361,0.06420677746930824,-0.5701246600858626,0.02649093137879913,1.188221040073551,0.2693711103384236,0.06716869914067641,1.188221040073551,0.2693711103384236,0.06716869914067641,0.3065439987182617,0.07423261783686488
LargestMargin,1.0,0.31228959861077865,6.725228325697263e-16,1.0,0.31228959861077865,6.725228325697263e-16,1.1556983362261375,0.15796123615132385,0.03467425220479232,1.1556983362261375,0.15796123615132385,0.03467425220479232,0.3847381781701399,-0.10731493122503863,0.036513388501559524,0.06903366729243103,-0.5378078084196212,0.02334032126738459,1.20699077105291,0.25782973273089804,0.05953291401124465,1.20699077105291,0.25782973273089804,0.05953291401124465,0.16844789028167725,0.06574853880674786
