Israel06_2020-06-30T17-18-41_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0007683341719356,0.0027455355715731377,0.0004362843737557768,1.0008200548412052,0.0027973584245112207,0.000481785645262959,1.0015450636819143,0.0015123490531461772,0.00048666804038456364,1.0016318781844784,0.0015991607199874185,0.0004907976420751614,0.2875,-0.5952808639844158,2.242989226691107e-17,0.08799213625915324,-0.8358352148415106,9.17684018367309e-05,1.001144931611112,0.0035389856016778383,0.0010668042084878843,1.0010199901416075,0.0036633425249482875,0.0010832148608239276,0.2024487829208374,0.02206456166391784
Ver,1.0007764951315345,0.002753712654644655,0.0004551786393678139,1.0008108191351797,0.0027881044716544924,0.0004436469900236006,1.001548818353238,0.0015161036018266204,0.0006117092284551395,1.001656030046104,0.0016233117927126534,0.0005718878383865883,0.21739130434782608,-0.6939741882679893,1.586032892321652e-17,0.08072704274064489,-0.849389522843644,8.833503285878876e-05,1.0012561294557876,0.003428308002855113,0.0012987965378723077,1.001001805965432,0.0036814416253539324,0.0010959327232008406,0.12408214092254638,0.028431854861678565
HighestScatter,1.0011514925717442,0.003129450971077413,0.0004805674638109898,1.0011514925717442,0.003129450971077413,0.0004805674638109898,1.0020268182042291,0.001994087839353913,0.0005378102163265043,1.0020268182042291,0.001994087839353913,0.0005378102163265043,0.5720166585372287,-0.19476143363579596,0.1504272186068311,0.34741702021807663,-0.3518325283463009,0.20959289161596484,1.0005834736977217,0.004097816700206774,0.0007142552183901486,1.0005834736977217,0.004097816700206774,0.0007142552183901486,0.10607820034027099,0.035766235793801275
MostValuableMargin,1.0011607307795616,0.003138707430668775,0.0004997249284643948,1.0011689837946576,0.003146976751109814,0.0005069578707884282,1.002061252035815,0.002028520546187566,0.0005402973272568922,1.002076823854467,0.0020440918561992634,0.0005481104341103721,0.5122796262343658,-0.2788543731201428,0.16355581728949056,0.24860772700438055,-0.5361786197324074,0.20662667029625614,1.0006048479850458,0.004076542413780821,0.0007938699818220932,1.000545376436089,0.00413573572149299,0.0007208182200886919,0.01510986328125,0.029707877499784346
LargestMargin,1.0011051128649893,0.003082979632705088,0.0004936216727347777,1.0011133658800855,0.003091248953146349,0.0005018768780510759,1.0018206866609083,0.0017879630291469095,0.0005039471361477006,1.0018362584795601,0.0018035343391583855,0.0005197225630689747,0.5885134360058393,-0.17153861094314407,0.14444593218110754,0.3727277110143079,-0.3046109890880807,0.20626368657738112,1.0007736891883032,0.003908491144321369,0.0008195415088133297,1.0007142176393464,0.003967684452033538,0.0007625549066559441,0.03893637657165527,0.06012658170596682
VerHor,1.0008353735190902,0.002812707367254119,0.0005282806930913557,1.000872152366781,0.0028495588783042187,0.0005195499631349666,1.0015538605794694,0.0015211456633579664,0.0005580237597274196,1.0016191932881064,0.0015864762379569487,0.0005439713525187401,0.6566401996676624,-0.0756352894518364,0.00021954421250872306,0.5079722997965332,-0.05228845431188125,0.0004924644895601771,1.0009784653867375,0.003704673003736981,0.0009045815589199664,1.000867909773302,0.003814711376037503,0.0008542428105391533,0.01834948539733887,0.04496412020158096
HorVer,1.0007965480208902,0.002773805162161262,0.0004383442456461956,1.0008530030509168,0.002830371729454357,0.0004326806784891686,1.0015703648305005,0.0015376493752916295,0.0005088004187261063,1.0016733887998914,0.0016406699794910325,0.00048892376150468,0.7103779488029415,1.2346727128311186e-05,0.0001113997244111292,0.5359509052354133,-8.945169441605002e-05,0.0003072839499168552,1.0012016800705945,0.0034825026433009513,0.0010080436083382497,1.0009717541916965,0.0037113528000454433,0.0009245592675587341,0.02485762119293213,0.03294103227125293
SmallestPiece,1.0008792697556752,0.002856690328905663,0.0004755741361925059,1.00091420880208,0.0028916984038048904,0.0004694943657475213,1.0016019749249807,0.0015692584372545891,0.0005099093755596622,1.0016576631964385,0.0016249448897016922,0.0004835524842680591,0.4931688884495869,-0.3057569167197119,0.0001264720389575881,0.09667423074445369,-0.819637242653322,0.00011837671860752301,1.0007739269350828,0.003908254509854484,0.0008329877967054287,1.0007183941799103,0.003963527451667746,0.0008118113202493386,0.000801081657409668,0.0018751652488094503
SquarePiece,1.0007965480208902,0.002773805162161262,0.0004383442456461956,1.0008530030509168,0.002830371729454357,0.0004326806784891686,1.0015703648305005,0.0015376493752916295,0.0005088004187261063,1.0016733887998914,0.0016406699794910325,0.00048892376150468,0.7103779488029415,1.2346727128311186e-05,0.0001113997244111292,0.5359509052354133,-8.945169441605002e-05,0.0003072839499168552,1.0012016800705945,0.0034825026433009513,0.0010080436083382497,1.0009717541916965,0.0037113528000454433,0.0009245592675587341,0.00099700927734375,0.0008940831988602352
SmallestHalfCut,1.0007764951315345,0.002753712654644655,0.0004551786393678139,1.0008108191351797,0.0027881044716544924,0.0004436469900236006,1.001548818353238,0.0015161036018266204,0.0006117092284551395,1.001656030046104,0.0016233117927126534,0.0005718878383865883,0.21739130434782608,-0.6939741882679893,1.586032892321652e-17,0.08072704274064489,-0.849389522843644,8.833503285878876e-05,1.0012561294557876,0.003428308002855113,0.0012987965378723077,1.001001805965432,0.0036814416253539324,0.0010959327232008406,0.0007441091537475586,0.0018092952077759271
Summary,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,HorVer,HorVer, ,HorVer,HorVer, ,HighestScatter,Ver, ,MostValuableMargin,Hor, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0011996577114823,0.005744708728163678,0.0005766696127383651,1.0014328522683165,0.005978961896184355,0.0005591122331955655,1.003091645751024,0.0029471933666509473,0.0006285933190831043,1.0034317996269688,0.0032872982580004115,0.0005092249454800246,0.14375,-0.6664654408701464,1.1214946133455535e-17,0.03871157015229733,-0.7408194269556123,8.111206804181802e-05,1.004189177353298,0.0058093774878637304,0.0017089096676381028,1.0036565428643258,0.006336708618396746,0.0016507041347867332,0.48043337821960447,0.0949295570769155
Ver,1.0012634700835872,0.005808810783234829,0.0005881600944747279,1.0014363460367095,0.005982471524906013,0.0005870243470311101,1.0029863533493684,0.002841916127855654,0.0005721689428535363,1.0033481660807764,0.003203676755637865,0.0005050706962566064,0.10869565217391304,-0.7477999552893356,9.635231406562756e-18,0.036422475504885095,-0.7561453065346387,8.852348771374128e-05,1.0040171918305232,0.00597965057764277,0.001915921197002507,1.0036114003590189,0.00638140164682708,0.0020658318169093646,0.2810466957092285,0.045395838907409274
HighestScatter,1.0015188858503286,0.006065386036679343,0.0006484527861621634,1.0016520381741911,0.006199142819503007,0.0006451595612377288,1.0035095162092147,0.003365003648501579,0.0006049992851929602,1.0037547563683724,0.00361020849131918,0.0005599588578907608,0.4294468271273127,-0.0035801171782767253,0.07981790331183843,0.09697613718127909,-0.35072820070607547,0.034204886485467066,1.003750086636285,0.006244096247168741,0.0019325291491701815,1.0033830019307701,0.0066075259475887,0.0021167109418673545,0.40869525909423826,0.06286864890667289
MostValuableMargin,1.001752875246283,0.006300437652075998,0.0006336727234546841,1.00186526372625,0.006413336331353572,0.00067512569065578,1.0037411129319713,0.0035965670196706906,0.0005909548065506549,1.0039310161613253,0.0037864429015989345,0.0005035874738821254,0.3437570242993166,-0.20240106053938814,0.08793524294745367,0.06735606655824107,-0.5490396318232306,0.034899779385530454,1.0033953610877149,0.006595289848839843,0.0017679522313969638,1.0031323867245872,0.006855645817295674,0.001844437179316234,0.2597120046615601,0.12748789292804463
