Israel06_2020-06-30T17-18-41_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0000000000000002,0.001975683414557471,8.452707207162529e-16,1.0000000000000002,0.001975683414557471,8.452707207162529e-16,1.0015774617763262,0.0015447460893015313,0.00048285680842252075,1.0015774617763262,0.0015447460893015313,0.00048285680842252075,0.2875,-0.5952808639844158,2.3228749901154105e-17,0.08792879899394548,-0.8359533816343332,0.00010942626253368184,1.0033011047702691,0.001392900229268776,0.0015200581107424102,1.0033011047702691,0.001392900229268776,0.0015200581107424102,0.13283029556274414,0.0214882071388443
Ver,1.0,0.0019756834145572486,6.33714918213296e-16,1.0,0.0019756834145572486,6.33714918213296e-16,1.0017073193376205,0.0016745994089075434,0.0005759037088760215,1.0017073193376205,0.0016745994089075434,0.0005759037088760215,0.21739130434782608,-0.6939741882679893,1.5004575303206472e-17,0.08063665698590898,-0.8495581533444868,8.455498815758982e-05,1.0027737927746514,0.00191774516376998,0.0012442170227485176,1.0027737927746514,0.00191774516376998,0.0012442170227485176,0.09640217304229737,0.022268169902226395
HighestScatter,1.0,0.0019756834145572486,7.708185125250204e-16,1.0,0.0019756834145572486,7.708185125250204e-16,1.0018779984174426,0.0018452729136408318,0.0004821915168169224,1.0018779984174426,0.0018452729136408318,0.0004821915168169224,0.5765489883723155,-0.1883811880184256,0.08914375316088782,0.274634970796483,-0.4876202250047915,0.0839793450119842,1.0028663224837042,0.001825648360566491,0.001230894145331943,1.0028663224837042,0.001825648360566491,0.001230894145331943,0.10925282001495361,0.030695629671998625
MostValuableMargin,1.0,0.0019756834145572486,8.099520748183469e-16,1.0,0.0019756834145572486,8.099520748183469e-16,1.0020481559414687,0.0020154248796141953,0.0005496437326600479,1.0020481559414687,0.0020154248796141953,0.0005496437326600479,0.43634194617072486,-0.3857532679597415,0.18334205300847148,0.17045938563150081,-0.6819780765632621,0.11649158722732826,1.0031384558806828,0.0015547881561717135,0.0013549315989159173,1.0031384558806828,0.0015547881561717135,0.0013549315989159173,0.05349503517150879,0.035415631660162185
LargestMargin,1.0,0.0019756834145572486,7.670367282441881e-16,1.0,0.0019756834145572486,7.670367282441881e-16,1.002000861517119,0.0019681320000971684,0.000543578869786499,1.002000861517119,0.0019681320000971684,0.000543578869786499,0.5278772850446803,-0.2568972566068337,0.1436056332734172,0.21979969394198978,-0.5899250652624657,0.11239138181560324,1.0033975204691938,0.0012969356170324314,0.0013583149822679866,1.0033975204691938,0.0012969356170324314,0.0013583149822679866,0.02414370059967041,0.053368592041956486
VerHor,1.0,0.0019756834145572486,6.33714918213296e-16,1.0,0.0019756834145572486,6.33714918213296e-16,1.0017380339131174,0.0017053129811386886,0.0005495071137100683,1.0017380339131174,0.0017053129811386886,0.0005495071137100683,0.599903483356532,-0.1555046279067999,0.0003118318831734607,0.3207359530007834,-0.40161074551136633,0.0001377872054537274,1.0030152579006753,0.0016774097469663995,0.0011119432071576675,1.0030152579006753,0.0016774097469663995,0.0011119432071576675,0.021597108840942382,0.038088839216448435
HorVer,1.0000000000000002,0.001975683414557471,8.452707207162529e-16,1.0000000000000002,0.001975683414557471,8.452707207162529e-16,1.0015301849642173,0.001497470821449992,0.00045356135357537466,1.0015301849642173,0.001497470821449992,0.00045356135357537466,0.5962151883910649,-0.160696709826085,0.0001359388277268098,0.38134317137663915,-0.28853733455993,0.0004083378693383569,1.0030415064203038,0.0016512840326271267,0.001152948940938946,1.0030415064203038,0.0016512840326271267,0.001152948940938946,0.03853784084320069,0.03692952191695837
SmallestPiece,1.0,0.0019756834145572486,6.33714918213296e-16,1.0,0.0019756834145572486,6.33714918213296e-16,1.001707460094431,0.00167474016112027,0.0005753483371353973,1.001707460094431,0.00167474016112027,0.0005753483371353973,0.21739130434782608,-0.6939741882679893,1.4718949228704904e-17,0.08063665698590898,-0.8495581533444868,8.455498815758982e-05,1.0028713436996808,0.0018206506366530632,0.0013980093205058677,1.0028713436996808,0.0018206506366530632,0.0013980093205058677,0.038869380950927734,0.03603463801906387
SquarePiece,1.0,0.0019756834145572486,6.33714918213296e-16,1.0,0.0019756834145572486,6.33714918213296e-16,1.001738010777658,0.0017052898464348409,0.0005483730580665435,1.001738010777658,0.0017052898464348409,0.0005483730580665435,0.5999573233334908,-0.15542883636259855,0.0002897413692645687,0.3207359530007834,-0.40161074551136633,0.0001377872054537274,1.0030311879259628,0.0016615542512672153,0.00132109091928188,1.0030311879259628,0.0016615542512672153,0.00132109091928188,0.005449972152709961,0.006237047239655826
SmallestHalfCut,1.0,0.0019756834145572486,6.33714918213296e-16,1.0,0.0019756834145572486,6.33714918213296e-16,1.001709579200523,0.001676859197993606,0.000577842468054358,1.001709579200523,0.001676859197993606,0.000577842468054358,0.21739130434782608,-0.6939741882679893,1.5295147308997557e-17,0.08063665698590898,-0.8495581533444868,8.455498815758982e-05,1.0026462174642863,0.0020447236053169246,0.0011613753852635206,1.0026462174642863,0.0020447236053169246,0.0011613753852635206,0.002190256118774414,0.0031255132918451356
Summary,Hor,Hor, ,Hor,Hor, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,SquarePiece,SquarePiece, ,HorVer,HorVer, ,SmallestHalfCut,LargestMargin, ,SmallestHalfCut,LargestMargin, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.004539605044482642,7.921785781655476e-16,1.0,0.004539605044482642,7.921785781655476e-16,1.0034979408241087,0.0033534299303339863,0.0005201339273805105,1.0034979408241087,0.0033534299303339863,0.0005201339273805105,0.14375,-0.6664654408701464,1.1974285745922076e-17,0.03865953132807777,-0.7411678357705666,7.654052624258881e-05,1.008844122604384,0.0012007807998027308,0.0017477310780258603,1.008844122604384,0.0012007807998027308,0.0017477310780258603,0.29845624446868896,0.054494628798649435
Ver,1.0,0.004539605044482642,5.828536010979184e-16,1.0,0.004539605044482642,5.828536010979184e-16,1.0034093269025943,0.0032648287698592436,0.00047126472977821127,1.0034093269025943,0.0032648287698592436,0.00047126472977821127,0.10869565217391304,-0.7477999552893356,8.614363580556748e-18,0.036386403043584786,-0.7563868178232316,7.498049675254537e-05,1.0080554825709342,0.0019815684675805957,0.0016717042219047725,1.0080554825709342,0.0019815684675805957,0.0016717042219047725,0.2194416666030884,0.026152402449333475
HighestScatter,1.0,0.004539605044482642,5.791995819632842e-16,1.0,0.004539605044482642,5.791995819632842e-16,1.0037760137775276,0.0036314628392550984,0.0005503692223260652,1.0037760137775276,0.0036314628392550984,0.0005503692223260652,0.3611861058602978,-0.16196140116909158,0.06368643212108173,0.055312253838647005,-0.6296750147338984,0.02459944205980739,1.0084744627479851,0.0015667600107315176,0.0020897234994653696,1.0084744627479851,0.0015667600107315176,0.0020897234994653696,0.4411701393127441,0.17450670754802888
MostValuableMargin,1.0,0.004539605044482642,5.966688625077984e-16,1.0,0.004539605044482642,5.966688625077984e-16,1.004017919598673,0.0038733338242289026,0.0005352083945005102,1.004017919598673,0.0038733338242289026,0.0005352083945005102,0.35316147034922546,-0.1805804847681405,0.05917685025637374,0.056756707237744314,-0.6200041525539066,0.02443081685453492,1.0086995383141708,0.0013439254868142392,0.00215346527810638,1.0086995383141708,0.0013439254868142392,0.00215346527810638,0.29280063152313235,0.11014096273199889
LargestMargin,1.0,0.004539605044482642,5.941000615034055e-16,1.0,0.004539605044482642,5.941000615034055e-16,1.0040078385952493,0.0038632542725420384,0.0005497920451882672,1.0040078385952493,0.0038632542725420384,0.0005497920451882672,0.3705737019456663,-0.14017992136650012,0.048559518035960515,0.06673639917653684,-0.5531884107659386,0.025466085884680707,1.0092069050449222,0.0008416105273788891,0.0024376249370223904,1.0092069050449222,0.0008416105273788891,0.0024376249370223904,0.1729445791244507,0.10831790481730269
