newZealandLowRes06HS_2020-06-15T00-51-47_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0540656142162121,0.20700485306387406,0.03527567751993195,1.0542456905182422,0.20721105746665572,0.03524839218274592,1.1025218910986139,0.10066549454925203,0.047294417031197016,1.102820842543807,0.1009639426280851,0.04718720213979854,0.36519607843137253,-0.34591583561921835,3.017633379753875e-17,0.07125096013894919,-0.7107161788415735,0.006038297412195919,1.0240958490824112,0.2357782853169211,0.03151637959985238,1.0238257228023928,0.23597986446508543,0.03166651816126222,0.1370632266998291,0.014114669895664357
Ver,1.026600195272309,0.1755543498792368,0.016665055811769684,1.0267008843575371,0.1756696484079829,0.016623222622577222,1.065286290807132,0.06349259055473506,0.02783893243434663,1.0653623736600233,0.06356854530137573,0.02776092355645603,0.17114093959731544,-0.6934781475511169,1.58206284130832e-17,0.03566096974182233,-0.8552139988989412,0.002119615949021667,1.0344677514625538,0.2280383525473663,0.035560596340263616,1.0342543242456488,0.228197620562962,0.03573791353197021,0.2076425838470459,0.026748620372268855
HighestScatter,1.058501317589749,0.212084153086949,0.03452916628094254,1.058688796550696,0.21229883423455334,0.03440299172411298,1.1068749042622201,0.10501117822699366,0.045774431624095446,1.1075211618350125,0.10565634764875897,0.04513738544840902,0.41292478517624054,-0.26043137093853047,0.076853264774003,0.08954840391065721,-0.6364272928898786,0.04948857318601365,1.0225171921972405,0.2369563428910851,0.03198025437162464,1.021847329869032,0.23745622123501525,0.031575353810752195,0.10600052833557129,0.012362203962579104
MostValuableMargin,1.0600642673962,0.21387387848548048,0.03398055544741623,1.0602517463571468,0.21408855963308482,0.033843502531615846,1.1085159586511426,0.10664946945290821,0.044718491854535136,1.1086530205902079,0.10678630061078646,0.044585685993264,0.4187257448597348,-0.2500415664163059,0.1020838853119503,0.10030309143621433,-0.5927625184546873,0.07289380535660711,1.0164887723979636,0.2414549934031057,0.03300729561405305,1.0161452342721267,0.24171135543779357,0.03308927373792445,0.019117770195007325,0.03451032181128034
LargestMargin,1.0588110279506,0.21243880075171434,0.03382275356315311,1.0588110279506,0.21243880075171434,0.03382275356315311,1.1075664860803949,0.1057015955784025,0.04491503729086609,1.1075664860803949,0.1057015955784025,0.04491503729086609,0.4194254453636426,-0.2487883683497189,0.07929514686353462,0.10239716524009734,-0.5842604341235613,0.06959330432204552,1.0218566664799957,0.23744925387854526,0.03762419409166628,1.0218566664799957,0.23744925387854526,0.03762419409166628,0.0064514255523681644,0.021181454808120507
VerHor,1.035331007472086,0.18555195586712994,0.023859050282593646,1.0355274486199362,0.18577689956664795,0.02379239496230654,1.0923819053977335,0.09054258228212174,0.04353947886989269,1.0942695933314817,0.09242709177796787,0.042448153757306234,0.5261538092110207,-0.05763261174167287,0.011919041464424596,0.2620170550552171,0.06380734725870159,0.0030534923203542896,1.0793549775671596,0.19454169016779987,0.07129630863780355,1.0793549775671596,0.19454169016779987,0.07129630863780355,0.05276052474975586,0.037429365160889905
HorVer,1.0510924071773784,0.20360024971031104,0.03528263378524122,1.0512393280602605,0.20376848802134545,0.03520976422642192,1.100839511407222,0.09898594760329502,0.04394397409150183,1.1011654947145884,0.09931138202878259,0.04374408108298875,0.5582281801569329,-0.00018583353882698482,0.005074639466651706,0.25015910296168226,0.01566324244886126,0.006107126387639522,1.0197949905863999,0.23898775975954878,0.030149986488288094,1.0197949905863999,0.23898775975954878,0.030149986488288094,0.0003482866287231445,2.4385610647383612e-05
SmallestPiece,1.0539987704828433,0.20692831066510406,0.035544977444943324,1.0548888850669023,0.20794757607728714,0.034995706531986866,1.101057246314136,0.09920331589405995,0.04487005409514435,1.1015736523566393,0.09971885242603194,0.04480928107075638,0.5505739501572737,-0.013894936481032275,0.007105956060730587,0.07602236854986136,-0.6913439310188864,0.0031015197475834136,1.0179385964076142,0.24037307612784617,0.026134079899485994,1.0170898526781544,0.24100644300345203,0.026234095957318293,0.0007188987731933594,0.0018561319492994897
SquarePiece,1.0510924071773784,0.20360024971031104,0.03528263378524122,1.0512393280602605,0.20376848802134545,0.03520976422642192,1.100839511407222,0.09898594760329502,0.04394397409150183,1.1011654947145884,0.09931138202878259,0.04374408108298875,0.5582281801569329,-0.00018583353882698482,0.005074639466651706,0.25015910296168226,0.01566324244886126,0.006107126387639522,1.0197949905863999,0.23898775975954878,0.030149986488288094,1.0197949905863999,0.23898775975954878,0.030149986488288094,0.0007611608505249023,4.955231588670928e-05
SmallestHalfCut,1.0540656142162121,0.20700485306387406,0.03527567751993195,1.0542456905182422,0.20721105746665572,0.03524839218274592,1.1025218910986139,0.10066549454925203,0.047294417031197016,1.102820842543807,0.1009639426280851,0.04718720213979854,0.36519607843137253,-0.34591583561921835,3.017633379753875e-17,0.07125096013894919,-0.7107161788415735,0.006038297412195919,1.0240958490824112,0.2357782853169211,0.03151637959985238,1.0238257228023928,0.23597986446508543,0.03166651816126222,0.0003938627243041992,3.077990056080519e-05
Summary,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,HorVer,HorVer, ,VerHor,VerHor, ,MostValuableMargin,VerHor, ,MostValuableMargin,VerHor, ,HorVer, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.046262573839318,0.3585914503068198,0.027672081380358177,1.0462680634053656,0.3585985786106362,0.027664628641801785,1.1425713902936687,0.14783212655144023,0.03092310644501663,1.1427268625430929,0.14798831464103557,0.030827673987238857,0.1825980392156863,-0.576533066325421,1.5750911738412798e-17,0.03213440589049264,-0.6558798313135248,0.0015172136407852787,1.0740274762936957,0.3395378919490595,0.0326860785815496,1.0740214350420068,0.3395416069544144,0.03267912304411215,0.3076555061340332,0.052151054154332036
Ver,1.0261621340180986,0.3324906546066485,0.013475676102231752,1.0264394174142435,0.33285071226400315,0.013430754015464291,1.0930428161148842,0.09807550818373978,0.024275229047691176,1.093234208510367,0.09826778180635898,0.02427971422070759,0.08557046979865772,-0.8015517328971524,7.181069340863296e-18,0.016444707813894857,-0.8238973004137111,0.000797822251861391,1.0630739583775939,0.3462736447050384,0.03198539709979379,1.0629626100527219,0.34634211720783387,0.03191259787339313,0.49241238117218017,0.06484566858177833
HighestScatter,1.0600054743265224,0.37643686270250454,0.027627813875515418,1.0607131188107535,0.3773557522529596,0.02718245923153602,1.155460769441619,0.1607808522092015,0.03064600344711746,1.1565269324513592,0.1618519241484402,0.030360040314224672,0.2964946826524765,-0.3123929772030344,0.05163663239330759,0.06973385691330958,-0.2532357160750753,0.021592778226714102,1.069678297119309,0.3422123747804663,0.05010882705412545,1.0681104422212637,0.34317651096314045,0.050656438427666525,0.41048269748687743,0.0647474521662379
MostValuableMargin,1.0614439865056433,0.3783047975752434,0.029355645805924858,1.061795073491265,0.3787606905689392,0.02913025236157163,1.1574111666148499,0.16274022958726983,0.030688054712173538,1.1575228717332366,0.16285244902902532,0.030746725806642665,0.3222012565309684,-0.25277632380214277,0.06785983406924607,0.0652487872879888,-0.3012653240066975,0.03155219295961551,1.0634606532766562,0.34603585066918324,0.04245650894088549,1.0632098634234826,0.34619007130018276,0.0427317292157735,0.25291994094848635,0.1070925367079691
LargestMargin,1.0578885193800205,0.3736879572528446,0.027349243425718296,1.0583441152412556,0.37427955696915466,0.027141592220955357,1.1550134194669002,0.16033144250302786,0.03224661909321102,1.1557967129453248,0.16111834249605408,0.031553206916327396,0.3052755598979509,-0.2920290610400481,0.0452578280037798,0.07289656881277076,-0.219366941402278,0.027317743895063668,1.0857694432401577,0.3323172906019818,0.0713704784100939,1.0842882398700904,0.3332281413221353,0.07255735343405338,0.27751832008361815,0.15177091603786022
