newZealandLowRes06HS_2020-06-15T00-51-47_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.1450946096570898,6.240026666103032e-16,1.0,0.1450946096570898,6.240026666103032e-16,1.0991023987781727,0.09725175987752106,0.046223413294652405,1.0991023987781727,0.09725175987752106,0.046223413294652405,0.36519607843137253,-0.34591583561921835,2.9862097530884075e-17,0.07594150754993821,-0.6916722322655621,0.008786303281089603,1.1052896686587217,0.17518817544207557,0.05316204988850241,1.1052896686587217,0.17518817544207557,0.05316204988850241,0.09368455886840821,0.016192773871366105
Ver,1.0,0.1450946096570898,6.940991681745816e-16,1.0,0.1450946096570898,6.940991681745816e-16,1.0661116283373504,0.06431653840393613,0.02835815559228776,1.0661116283373504,0.06431653840393613,0.02835815559228776,0.17114093959731544,-0.6934781475511169,1.4793529977350846e-17,0.037180853050247015,-0.8490431676523367,0.0035342124056786744,1.0475245184368709,0.21829486530027847,0.025087294965429142,1.0475245184368709,0.21829486530027847,0.025087294965429142,0.14775071144104004,0.032175124103105975
HighestScatter,1.0,0.1450946096570898,6.87866689200607e-16,1.0,0.1450946096570898,6.87866689200607e-16,1.1053039818985875,0.10344290093996103,0.04317515806559766,1.1053039818985875,0.10344290093996103,0.04317515806559766,0.36760499222773557,-0.3416013523577132,0.031489567431440116,0.11106244522518141,-0.549078798667642,0.07136650917585484,1.1075262160069326,0.1735191734136511,0.06630883824339273,1.1075262160069326,0.1735191734136511,0.06630883824339273,0.1298439931869507,0.034615138020835226
MostValuableMargin,0.9999999999999998,0.14509460965708956,7.015394790357121e-16,0.9999999999999998,0.14509460965708956,7.015394790357121e-16,1.1049262771825121,0.10306583219287392,0.04356769204364607,1.1049262771825121,0.10306583219287392,0.04356769204364607,0.35662810233029785,-0.3612615028360668,0.050550395151427334,0.10063182597586824,-0.5914278335101982,0.06457374264190861,1.09422940748581,0.18344178936500927,0.05107569550914164,1.09422940748581,0.18344178936500927,0.05107569550914164,0.036534175872802735,0.027566235399852618
LargestMargin,0.9999999999999999,0.1450946096570897,7.349375912585052e-16,0.9999999999999999,0.1450946096570897,7.349375912585052e-16,1.1028494138251232,0.10099246580185033,0.04410184245862164,1.1028494138251232,0.10099246580185033,0.04410184245862164,0.3681280879816625,-0.34066446209709467,0.03631498858808567,0.11044874271249108,-0.5515704732721578,0.0708367649203943,1.0954413750416956,0.1825373701892759,0.0535222659806375,1.0954413750416956,0.1825373701892759,0.0535222659806375,0.00861921787261963,0.018430201936935953
VerHor,1.0,0.1450946096570898,6.940991681745816e-16,1.0,0.1450946096570898,6.940991681745816e-16,1.084614727802482,0.08278848285048998,0.03626305747199049,1.084614727802482,0.08278848285048998,0.03626305747199049,0.3705155414645344,-0.3363884153140904,0.006821759171204041,0.09145946608269774,-0.6286682484289886,0.006416125479747819,1.1000553968349476,0.1790942006367545,0.05234302725654884,1.1000553968349476,0.1790942006367545,0.05234302725654884,0.049229302406311036,0.0333372579508402
HorVer,1.0,0.1450946096570898,6.240026666103032e-16,1.0,0.1450946096570898,6.240026666103032e-16,1.094223841996687,0.09238141747803366,0.04016891478983686,1.094223841996687,0.09238141747803366,0.04016891478983686,0.438076336431878,-0.21538370378781235,0.010071847731533733,0.27922276852174827,0.13366373273966414,0.004586071560705742,1.1222927973255516,0.16249975359524887,0.05925506004732957,1.1222927973255516,0.16249975359524887,0.05925506004732957,0.011984896659851075,0.02169766400155968
SmallestPiece,1.0,0.1450946096570898,6.240026666103032e-16,1.0,0.1450946096570898,6.240026666103032e-16,1.0991422377590778,0.09729153177862732,0.04637983710442699,1.0991422377590778,0.09729153177862732,0.04637983710442699,0.36519607843137253,-0.34591583561921835,3.0009150606412944e-17,0.07618115503917988,-0.690699246901103,0.009283955629116835,1.1123701351268456,0.16990444518394207,0.05262871973864921,1.1123701351268456,0.16990444518394207,0.05262871973864921,0.022906527519226075,0.032408631420158644
SquarePiece,1.0,0.1450946096570898,6.240026666103032e-16,1.0,0.1450946096570898,6.240026666103032e-16,1.0991830607963902,0.09733228607921324,0.046299458588058624,1.0991830607963902,0.09733228607921324,0.046299458588058624,0.36519607843137253,-0.34591583561921835,2.794750175205077e-17,0.07590947825881628,-0.6918022734005401,0.008900355911034018,1.1037425080132914,0.1763427292491243,0.046739266418750244,1.1037425080132914,0.1763427292491243,0.046739266418750244,0.002278480529785156,0.0022258486801619284
SmallestHalfCut,1.0,0.1450946096570898,6.240026666103032e-16,1.0,0.1450946096570898,6.240026666103032e-16,1.0992086699883012,0.09735785215105941,0.04632942924646345,1.0992086699883012,0.09735785215105941,0.04632942924646345,0.36519607843137253,-0.34591583561921835,3.017633379753875e-17,0.07610966119902578,-0.6909895168319045,0.009126944203745675,1.1067575705367256,0.1740927677307761,0.054347891705412384,1.1067575705367256,0.1740927677307761,0.054347891705412384,0.0015290594100952149,0.0027653820658052916
Summary,Hor,Hor, ,Hor,Hor, ,HighestScatter,HighestScatter, ,HighestScatter,HighestScatter, ,HorVer,HorVer, ,HorVer,HorVer, ,Ver,HorVer, ,Ver,HorVer, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.2985186360259392,4.654891705523927e-16,1.0,0.2985186360259392,4.654891705523927e-16,1.1321312480536914,0.13734391481201214,0.031064272031595192,1.1321312480536914,0.13734391481201214,0.031064272031595192,0.1825980392156863,-0.576533066325421,1.5949293759602197e-17,0.0320402457591329,-0.6568881711097381,0.0017439897854133108,1.1791331172137853,0.2749042631990023,0.09112356596030056,1.1791331172137853,0.2749042631990023,0.09112356596030056,0.2623208475112915,0.03928449411047822
Ver,1.0000000000000002,0.2985186360259395,6.314562448696875e-16,1.0000000000000002,0.2985186360259395,6.314562448696875e-16,1.0905686455916992,0.09558994584846339,0.023092202627946687,1.0905686455916992,0.09558994584846339,0.023092202627946687,0.08557046979865772,-0.8015517328971524,8.321951009976884e-18,0.01688074528396299,-0.8192278726276551,0.0004578671044209992,1.1316131177184063,0.3041261962817601,0.08104707789275621,1.1316131177184063,0.3041261962817601,0.08104707789275621,0.32701653480529785,0.04019314855777597
HighestScatter,1.0,0.2985186360259392,4.484632457916586e-16,1.0,0.2985186360259392,4.484632457916586e-16,1.1363636689369474,0.14159582301149878,0.031221245726600375,1.1363636689369474,0.14159582301149878,0.031221245726600375,0.2167128806640926,-0.4974166236571253,0.027543689085396925,0.04300892829160417,-0.5394270020373964,0.01678981453832328,1.1762068890373323,0.27670371700508883,0.08152279171595848,1.1762068890373323,0.27670371700508883,0.08152279171595848,0.5622221612930298,0.15987284595162837
MostValuableMargin,1.0,0.2985186360259392,4.475648810157263e-16,1.0,0.2985186360259392,4.475648810157263e-16,1.1348560753186518,0.1400812879867606,0.02960860900370212,1.1348560753186518,0.1400812879867606,0.02960860900370212,0.22151325219296863,-0.48628398159501246,0.03410956616231286,0.04064611163478272,-0.5647298773820181,0.022640964917226083,1.1676552851420618,0.2819624375318461,0.07458262847442593,1.1676552851420618,0.2819624375318461,0.07458262847442593,0.4489141082763672,0.17286545191219022
LargestMargin,1.0,0.2985186360259392,4.697496359051575e-16,1.0,0.2985186360259392,4.697496359051575e-16,1.1301269570048298,0.13533039541498657,0.028967780397724397,1.1301269570048298,0.13533039541498657,0.028967780397724397,0.23022411272160034,-0.4660824426651809,0.035896527005120756,0.04635488883012783,-0.5035958586560989,0.02527806092433687,1.186616008626031,0.2703027363800585,0.07993560476685814,1.186616008626031,0.2703027363800585,0.07993560476685814,0.23949512481689453,0.1099716644060114
