newZealandLowRes06_2020-06-30T17-18-48_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.000914753075696,0.0029099868777119836,0.0005232914633885113,1.000939253483437,0.0029345361248185355,0.000509564227691266,1.0017974395721252,0.0016683545232199495,0.0006304660837383546,1.0018604071389832,0.0017313139764901602,0.0006237824421728855,0.3651960784313726,-0.34591583561921824,2.794750175205077e-17,0.07351304412095239,-0.7015319615788305,0.00016560219971237732,1.0011253252738244,0.0037263981193762833,0.0012835449262731627,1.0009316812391587,0.003919103702811936,0.0012032358745378841,0.14789652347564697,0.015633489179619885
Ver,1.0009931771626956,0.0029885672960961824,0.0005088449429629496,1.0010534287536668,0.0030489389932107655,0.0005289741319873416,1.0017839394841068,0.0016548561747343963,0.0005519143156397215,1.0018626349097852,0.0017335414602362776,0.0005396629583515279,0.17114093959731544,-0.6934781475511169,1.4449447319834533e-17,0.03598321999324683,-0.8539056406126873,5.124677436952092e-05,1.0012763311119715,0.0035761240962566957,0.0010746894510770195,1.0011306342070796,0.003721114914643761,0.0010975463460680557,0.20930779933929444,0.05095729187300515
HighestScatter,1.0013791685094688,0.00337532808200493,0.0005951868117471962,1.0013867170620023,0.003382891681900967,0.0006015377839300745,1.0022302022754086,0.002101061463539197,0.0006406402111586038,1.0022348855725212,0.0021057441571928036,0.0006421152406042561,0.4192007225025555,-0.24919085806275956,0.09903464076681849,0.10377986222562384,-0.5786465888266377,0.07563501417953658,1.0008875410593985,0.003963029967353593,0.0011511565350798658,1.0008766668045328,0.003973851522646717,0.0011570238545052475,0.11317717075347901,0.037841664129210126
MostValuableMargin,1.0014546725595463,0.0034509826426353443,0.0006079144591779061,1.0014546725595463,0.0034509826426353443,0.0006079144591779061,1.0022654999874672,0.0021363546273660498,0.0006224881104404136,1.0022690083836225,0.002139862571452499,0.0006190076693996015,0.3921014049169304,-0.29772707064866205,0.13433671492799387,0.10064381878543105,-0.5913791418747454,0.08312272271303599,1.0006828626836486,0.004166716416479874,0.0009362329531076729,1.0006828626836486,0.004166716416479874,0.0009362329531076729,0.01870114803314209,0.028758522630209754
LargestMargin,1.001462057945284,0.003458382750477154,0.0005868770035237792,1.001462057945284,0.003458382750477154,0.0005868770035237792,1.0021954513373539,0.0020663150032624827,0.0006197581892018736,1.0021954513373539,0.0020663150032624827,0.0006197581892018736,0.4159529424593234,-0.2550077920911715,0.09666167065913811,0.11123356363242606,-0.5483840461110204,0.08346122863328918,1.000871983683222,0.003978511948288255,0.00103183262037377,1.000871983683222,0.003978511948288255,0.00103183262037377,0.012171826362609862,0.0325663423868653
VerHor,1.0009621400041064,0.002957468267714621,0.0005165417621984117,1.0009955035891427,0.002990898360065721,0.0005470655875737951,1.0017495290248186,0.0016204501493523348,0.0005605469615171464,1.0018165291238847,0.0016874416152250417,0.0006028435255420177,0.5262542222371877,-0.05745276706591554,0.00013607711484823383,0.2635731329673482,0.07012513109717415,6.693561485268143e-05,1.0013879859420642,0.003465010375590918,0.001321809047721444,1.001268066514729,0.0035843486410313207,0.0012917521389427548,0.04099555969238281,0.043981392767803336
HorVer,1.0011411491337252,0.003136834235980424,0.0006134053074656055,1.0011625400735225,0.003158267816697901,0.0006138964527178221,1.0019372684158763,0.0018081653495431308,0.0006511034007136425,1.001990845685084,0.0018617357151351744,0.0006634253461445674,0.5583169267005709,-2.688410791722838e-05,7.33666879771167e-05,0.2462856984314215,-6.304757194736308e-05,0.00015612408218859295,1.000898025684769,0.003952596153305941,0.0010854600587751743,1.0007743820469284,0.004075640580723118,0.0010606719222453103,0.02402590274810791,0.05319102788248194
SmallestPiece,1.0009894135947763,0.002984796225841725,0.0005820186629835846,1.0009970019344367,0.0029923996921767584,0.0005935662508970864,1.0018443706045541,0.0017152795084237756,0.0005825893090157006,1.0018699498309316,0.0017408554388298671,0.000570496076564953,0.5529227875639132,-0.009688052992613813,8.437174559523769e-05,0.07557238977474093,-0.6931708759365853,0.00010416784923078553,1.0010202315070091,0.0038309825734470725,0.0011765978474265778,1.000957162910098,0.0038937455229240314,0.001195301810227009,0.0005366134643554687,3.3234056679320106e-05
SquarePiece,1.0011411491337252,0.003136834235980424,0.0006134053074656055,1.0011625400735225,0.003158267816697901,0.0006138964527178221,1.0019372684158763,0.0018081653495431308,0.0006511034007136425,1.001990845685084,0.0018617357151351744,0.0006634253461445674,0.5583169267005709,-2.688410791722838e-05,7.33666879771167e-05,0.2462856984314215,-6.304757194736308e-05,0.00015612408218859295,1.000898025684769,0.003952596153305941,0.0010854600587751743,1.0007743820469284,0.004075640580723118,0.0010606719222453103,0.0008808803558349609,5.5862084353930757e-05
SmallestHalfCut,1.000914753075696,0.0029099868777119836,0.0005232914633885113,1.000939253483437,0.0029345361248185355,0.000509564227691266,1.0017974395721252,0.0016683545232199495,0.0006304660837383546,1.0018604071389832,0.0017313139764901602,0.0006237824421728855,0.3651960784313726,-0.34591583561921824,2.794750175205077e-17,0.07351304412095239,-0.7015319615788305,0.00016560219971237732,1.0011253252738244,0.0037263981193762833,0.0012835449262731627,1.0009316812391587,0.003919103702811936,0.0012032358745378841,0.0004951095581054687,5.205974538782186e-05
Summary,LargestMargin,LargestMargin, ,LargestMargin,LargestMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,HorVer,HorVer, ,VerHor,VerHor, ,MostValuableMargin,VerHor, ,MostValuableMargin,VerHor, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0014001736432034,0.005444870142473339,0.0006063378602730851,1.0015750801178525,0.0056204830715691715,0.0006425759925879178,1.0034154808390465,0.003152297508781158,0.0007762611565801858,1.003712764305725,0.0034495030017247285,0.0007218603137990552,0.1825980392156863,-0.576533066325421,1.7054463529974058e-17,0.03125181815591626,-0.6653312660510469,6.975294031753898e-05,1.00402236451828,0.006158369970017923,0.0018213108007556972,1.003714461404928,0.006463150961835585,0.0018070515829898908,0.35223228931427003,0.06294425470964932
Ver,1.001567812502647,0.005613186102166945,0.0007005856376618615,1.001659729040605,0.0057054738948032705,0.0006734200133110512,1.0034213043010822,0.0031581194433956067,0.0007062688281464464,1.0037176872426234,0.003454424647398309,0.0006317441217931163,0.08557046979865772,-0.8015517328971524,9.166975132707171e-18,0.016465608181275963,-0.8236734830519307,3.3239699510793275e-05,1.004354789950411,0.005829315314456456,0.001990527676946779,1.003967051099833,0.006213122513282398,0.0019485649053598052,0.479271240234375,0.07536379120639945
HighestScatter,1.0019715994174307,0.0060186039289113905,0.0006748219632871046,1.0020427339280478,0.00609002575474329,0.0006873149785361737,1.0040815039588362,0.0038181459390369075,0.0006415836352314659,1.0042614724726209,0.0039980672493313794,0.0006485644425309565,0.2935328137112634,-0.319261909442772,0.056742119355836805,0.06008025840124126,-0.3566139443742115,0.028651172658398734,1.0034675504895345,0.006707558213405758,0.0018630640195097207,1.0031116535200832,0.007059846406121345,0.0016981726217881702,0.43321010112762454,0.07635770077073345
MostValuableMargin,1.0020625696550005,0.006109941599013245,0.0007163668291053414,1.0021162791663905,0.006163868045329319,0.0007365461530717316,1.0041785689272822,0.003915185448555708,0.0006327810196543291,1.0042602159278964,0.003996811034182851,0.000649808610383147,0.27132070403761405,-0.37077447778329614,0.08209695437115304,0.04674001723333755,-0.4994716046857558,0.03383415851697883,1.0035679422158903,0.006608184453926975,0.0020282139101124455,1.0035118029878636,0.006663754433105146,0.0020121675767580025,0.23011736392974855,0.10594733813054097
