newZealandLowRes06_2020-06-30T17-18-48_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.001993410323791065,6.234380384952638e-16,1.0,0.001993410323791065,6.234380384952638e-16,1.0018667451430718,0.0017376511639051824,0.000652091288383265,1.0018667451430718,0.0017376511639051824,0.000652091288383265,0.36519607843137253,-0.34591583561921835,2.74708955197652e-17,0.07363880843228406,-0.701021349785299,0.00017152267092051065,1.0035056675710359,0.0013575916030661747,0.0015079751987425445,1.0035056675710359,0.0013575916030661747,0.0015079751987425445,0.10337952136993409,0.021112762818556677
Ver,0.9999999999999999,0.001993410323790954,7.327025662622777e-16,0.9999999999999999,0.001993410323790954,7.327025662622777e-16,1.0018746364468525,0.0017455414508641728,0.000521082897080587,1.0018746364468525,0.0017455414508641728,0.000521082897080587,0.17114093959731544,-0.6934781475511169,1.4063470904465453e-17,0.03598853236317853,-0.8538840720237132,4.96921127426886e-05,1.0032038846428282,0.0016579120097938113,0.0014332843848732521,1.0032038846428282,0.0016579120097938113,0.0014332843848732521,0.14870026111602783,0.037783807737570875
HighestScatter,1.0,0.001993410323791065,6.234380384952638e-16,1.0,0.001993410323791065,6.234380384952638e-16,1.00223501869517,0.002105877262688396,0.0006570928531307879,1.00223501869517,0.002105877262688396,0.0006570928531307879,0.36941586622443956,-0.3383579878341383,0.030444839025720906,0.10436182581113669,-0.5762837764594231,0.07483906008523648,1.003976793895834,0.000888748483530697,0.0018251263615503704,1.003976793895834,0.000888748483530697,0.0018251263615503704,0.14517144203186036,0.04986372586144685
MostValuableMargin,1.0,0.001993410323791065,6.868969114313847e-16,1.0,0.001993410323791065,6.868969114313847e-16,1.002301530712423,0.002172380709638937,0.000620963917858571,1.002301530712423,0.002172380709638937,0.000620963917858571,0.3540363668871031,-0.3659034286720165,0.06175172100893023,0.09837946980075722,-0.6005725552048288,0.06908934317477317,1.003704407167924,0.0011598151518772565,0.0019566446903495024,1.003704407167924,0.0011598151518772565,0.0019566446903495024,0.05387901782989502,0.039983945936909696
LargestMargin,1.0,0.001993410323791065,6.673599736311065e-16,1.0,0.001993410323791065,6.673599736311065e-16,1.0022674032229943,0.0021382576176547786,0.000625422154156309,1.0022674032229943,0.0021382576176547786,0.000625422154156309,0.36655001502573364,-0.3434908684899131,0.04139771808417837,0.10380638654804732,-0.578538898244934,0.07461048569819356,1.0037821511127019,0.0010824479752282311,0.0018409306436411442,1.0037821511127019,0.0010824479752282311,0.0018409306436411442,0.006451201438903808,0.0193305677397722
VerHor,0.9999999999999999,0.001993410323790954,7.327025662622777e-16,0.9999999999999999,0.001993410323790954,7.327025662622777e-16,1.0017103863225147,0.0015813124907204067,0.0005811656992106504,1.0017103863225147,0.0015813124907204067,0.0005811656992106504,0.3666886134290408,-0.3432426319228583,6.0865838630269186e-05,0.09132794029193812,-0.6292022522270797,0.00021511651653568294,1.0034084091657625,0.001454378667870881,0.0016987710190300713,1.0034084091657625,0.001454378667870881,0.0016987710190300713,0.042457590103149416,0.0321240643029915
HorVer,1.0,0.001993410323791065,6.234380384952638e-16,1.0,0.001993410323791065,6.234380384952638e-16,1.0017399826188218,0.0016109049734427936,0.0006027946414907449,1.0017399826188218,0.0016109049734427936,0.0006027946414907449,0.43007987887676147,-0.22970575313842626,0.00018121689548452518,0.2740177154801608,0.1125308577543121,0.00010716559681632732,1.00368848829687,0.001175656875787811,0.0018082563759963697,1.00368848829687,0.001175656875787811,0.0018082563759963697,0.007698945999145508,0.008267415693773405
SmallestPiece,1.0,0.001993410323791065,6.234380384952638e-16,1.0,0.001993410323791065,6.234380384952638e-16,1.0018682833509527,0.0017391891735826484,0.0006524669266734868,1.0018682833509527,0.0017391891735826484,0.0006524669266734868,0.36519607843137253,-0.34591583561921835,2.7676160358108266e-17,0.07363880843228406,-0.701021349785299,0.00017152267092051065,1.0033386434585188,0.0015238062716770545,0.0015700984487568156,1.0033386434585188,0.0015238062716770545,0.0015700984487568156,0.027328414916992186,0.030299709223412134
SquarePiece,1.0,0.001993410323791065,6.234380384952638e-16,1.0,0.001993410323791065,6.234380384952638e-16,1.0018684354936844,0.00173934129671028,0.0006502159373775077,1.0018684354936844,0.00173934129671028,0.0006502159373775077,0.36519607843137253,-0.34591583561921835,2.74708955197652e-17,0.07363880843228406,-0.701021349785299,0.00017152267092051065,1.0032566325997028,0.001605419683747692,0.0015944549530834446,1.0032566325997028,0.001605419683747692,0.0015944549530834446,0.0028405332565307616,0.002581763666077106
SmallestHalfCut,1.0,0.001993410323791065,6.234380384952638e-16,1.0,0.001993410323791065,6.234380384952638e-16,1.0018658312665898,0.0017367374051792685,0.0006478426256981123,1.0018658312665898,0.0017367374051792685,0.0006478426256981123,0.36519607843137253,-0.34591583561921835,2.74708955197652e-17,0.07363880843228406,-0.701021349785299,0.00017152267092051065,1.003410326642169,0.0014524704840722688,0.001534291214007505,1.003410326642169,0.0014524704840722688,0.001534291214007505,0.0013566303253173828,0.0019129591289201065
Summary,Hor,Hor, ,Hor,Hor, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,HorVer,HorVer, ,HorVer,HorVer, ,Ver,HighestScatter, ,Ver,HighestScatter, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,0.9999999999999999,0.0040390411403212955,5.727313888312868e-16,0.9999999999999999,0.0040390411403212955,5.727313888312868e-16,1.0037370343869099,0.003473766717170769,0.0007306942645255905,1.0037370343869099,0.003473766717170769,0.0007306942645255905,0.18259803921568626,-0.5765330663254211,1.5004575303206472e-17,0.03117048261813282,-0.6662022701417285,6.99893313308528e-05,1.009763802043832,0.00047515032196991,0.002332485729730004,1.009763802043832,0.00047515032196991,0.002332485729730004,0.2729921627044678,0.043693152447064725
Ver,1.0,0.0040390411403214066,5.489598712073926e-16,1.0,0.0040390411403214066,5.489598712073926e-16,1.0036146098905614,0.003351374331236448,0.0006772762583273401,1.0036146098905614,0.003351374331236448,0.0006772762583273401,0.08557046979865772,-0.8015517328971524,8.265080519065315e-18,0.016488218561806826,-0.8234313535416213,3.567774479667467e-05,1.0099564024288974,0.0002845028947787347,0.003330965581605668,1.0099564024288974,0.0002845028947787347,0.003330965581605668,0.30472365379333494,0.030572602241631858
HighestScatter,0.9999999999999999,0.0040390411403212955,5.727313888312868e-16,0.9999999999999999,0.0040390411403212955,5.727313888312868e-16,1.0042078040616047,0.003944412914868151,0.0006411947398351868,1.0042078040616047,0.003944412914868151,0.0006411947398351868,0.20915968477062669,-0.514933398306996,0.021247540512676612,0.03658203101461094,-0.6082512081741558,0.007213458793486021,1.0103557851326326,-0.00011083008913980325,0.002334648221870789,1.0103557851326326,-0.00011083008913980325,0.002334648221870789,0.6018949317932129,0.12071326068295198
MostValuableMargin,0.9999999999999999,0.0040390411403212955,5.406302016956309e-16,0.9999999999999999,0.0040390411403212955,5.406302016956309e-16,1.0042955732237024,0.004032159056212458,0.0006033956790032457,1.0042955732237024,0.004032159056212458,0.0006033956790032457,0.22862974535368952,-0.4697799733908121,0.03695114669005123,0.03736280954559604,-0.5998900254373415,0.021769487809800637,1.0108494148001732,-0.0005994543775590331,0.0027963253964909764,1.0108494148001732,-0.0005994543775590331,0.0027963253964909764,0.38508246421813963,0.12276339227128852
LargestMargin,1.0,0.0040390411403214066,6.178163075802324e-16,1.0,0.0040390411403214066,6.178163075802324e-16,1.0042374711393054,0.003974072211265426,0.0006430578788716736,1.0042374711393054,0.003974072211265426,0.0006430578788716736,0.22330941962334316,-0.482118452121783,0.03184430113802806,0.037940624724952125,-0.5937023318584647,0.012595243107224933,1.0106155481173673,-0.0003679590907373787,0.002225240747585098,1.0106155481173673,-0.0003679590907373787,0.002225240747585098,0.19284846782684326,0.14129644881853293
