
NumberOfAgents,NoiseProportion,Algorithm,Method,egalitarianGain_Avg,egalitarianGain_StDev,egalitarianGain_interval,ttc_egalitarianGain_Avg,ttc_egalitarianGain_StDev,ttc_egalitarianGain_interval,utilitarianGain_Avg,utilitarianGain_StDev,utilitarianGain_interval,ttc_utilitarianGain_Avg,ttc_utilitarianGain_StDev,ttc_utilitarianGain_interval,averageFaceRatio_Avg,averageFaceRatio_StDev,averageFaceRatio_interval,largestFaceRatio,smallestFaceRatio_Avg,smallestFaceRatio_StDev,smallestFaceRatio_interval,averageInheritanceGain,largestInheritanceGain,largestEnvy_Avg,largestEnvy_StDev,largestEnvy_interval,ttc_largestEnvy_Avg,ttc_largestEnvy_StDev,ttc_largestEnvy_interval,experimentDurationSec_Avg,experimentDurationSec_StDev,experimentDurationSec_interval,experiment,dishonestAgent,relativeValues,ttc_relativeValues,comment
4,0.6,Honest_LastDiminisher,Hor,1.0,6.234380384952638e-16,1.9840580821829202e-15,1.0,6.234380384952638e-16,1.9840580821829202e-15,1.0018667451430718,0.000652091288383265,0.0020752455114233766,1.0018667451430718,0.000652091288383265,0.0020752455114233766,0.36519607843137253,2.74708955197652e-17,8.742464994972677e-17,0,0.07363880843228406,0.00017152267092051065,0.0005458616903434676,0,0,1.0035056675710359,0.0015079751987425445,0.0047990500996985125,1.0035056675710359,0.0015079751987425445,0.0047990500996985125,0.10337952136993409,0.021112762818556677,0.06719023402625866,450,,"{'183': 0.25009141654661643, '301': 0.2512513717286758, '57': 0.2504082161391439, '953': 0.25000000000000017}","{'183': 0.25009141654661643, '301': 0.2512513717286758, '57': 0.2504082161391439, '953': 0.25000000000000017}",
4,0.6,Assessor,Assessor,0.9980105554555025,0.0014634983063929552,0.004657504777970036,0.999514532962848,0.0017304573086035615,0.005507087468217554,1.0001288700479778,0.0010904455095876917,0.0034702842831011646,1.0016242042405823,0.0008213616067396884,0.002613939210671067,0.5583319369566176,3.891440866808545e-17,1.2384301608807043e-16,0,0.24630122712575944,0.0,0.0,0,0,1.0048698704693593,0.002041485822906553,0.006496919014399162,1.0029178652192274,0.0024568278025277374,0.007818722562874053,0.08075785636901855,0.0842832025653746,0.26822676660170147,450,,"{'183': 0.24959350606703318, '301': 0.24980269286289578, '57': 0.2496883461128406, '953': 0.2504169880768864}","{'183': 0.25010539149504823, '301': 0.24980269286289578, '57': 0.250638034127863, '953': 0.2504169880768864}",
4,0.6,Honest_HighestBidder,HighestBidder,1.351848913374897,0.003660265061763509,0.011648597022170354,1.351848913374897,0.003660265061763509,0.011648597022170354,1.3598678719414097,0.000563222210924937,0.0017924244442120993,1.3598678719414097,0.000563222210924937,0.0017924244442120993,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,18.161258697509766,1.7983147235626737,5.723040047740321,450,,"{'301': 0.3391723348681733, '953': 0.34042068865601566, '183': 0.3384340260333032, '57': 0.3426210022499313}","{'301': 0.3391723348681733, '953': 0.34042068865601566, '183': 0.3384340260333032, '57': 0.3426210022499313}",
4,0.6,Integrated_Honest_LastDiminisher,Hor,0.001993410323791065,6.234380384952638e-16,1.9840580821829202e-15,0.001993410323791065,6.234380384952638e-16,1.9840580821829202e-15,0.0017376511639051824,0.000652091288383265,0.0020752455114233766,0.0017376511639051824,0.000652091288383265,0.0020752455114233766,-0.34591583561921835,2.74708955197652e-17,8.742464994972677e-17,0,-0.701021349785299,0.00017152267092051065,0.0005458616903434676,0,0,-0.0013575916030661747,0.0015079751987425445,0.0047990500996985125,-0.0013575916030661747,0.0015079751987425445,0.0047990500996985125,0.28011720491374964,0.021112762818556677,0.06719023402625866,450,,"{'183': 0.25009141654661643, '301': 0.2512513717286758, '57': 0.2504082161391439, '953': 0.25000000000000017}","{'183': 0.25009141654661643, '301': 0.2512513717286758, '57': 0.2504082161391439, '953': 0.25000000000000017}",
8,0.6,Honest_LastDiminisher,Hor,0.9999999999999999,5.727313888312868e-16,1.35429453134527e-15,0.9999999999999999,5.727313888312868e-16,1.35429453134527e-15,1.0037370343869099,0.0007306942645255905,0.0017278173779713458,1.0037370343869099,0.0007306942645255905,0.0017278173779713458,0.18259803921568626,1.5004575303206472e-17,3.548018263807224e-17,0,0.03117048261813282,6.99893313308528e-05,0.0001654984701769295,0,0,1.009763802043832,0.002332485729730004,0.005515452321655022,1.009763802043832,0.002332485729730004,0.005515452321655022,0.2729921627044678,0.043693152447064725,0.10331788787941924,850,,"{'1005': 0.1250833455063446, '198': 0.12524840237412843, '57': 0.12560428638087695, '592': 0.1257902867222057, '687': 0.1254233519284089, '702': 0.12669540449964134, '743': 0.12500000000000003, '755': 0.1258117337292151}","{'1005': 0.1250833455063446, '198': 0.12524840237412843, '57': 0.12560428638087695, '592': 0.1257902867222057, '687': 0.1254233519284089, '702': 0.12669540449964134, '743': 0.12500000000000003, '755': 0.1258117337292151}",
8,0.6,Assessor,Assessor,0.9959772070857582,0.0017031699681147405,0.004027357010196553,0.9991350712447065,0.00216188405257411,0.005112043458589166,1.0002623563051383,0.0012873262481873109,0.0030440428654258185,1.003376412295595,0.0006913525063591083,0.0016347889025334996,0.4311978685825967,1.5212693084014054e-17,3.5972302989636295e-17,0,0.09338134993119222,0.0,0.0,0,0,1.01024381972004,0.002419562059123259,0.005721355121827273,1.0065083363722658,0.003091919700754799,0.007311228306581306,0.3688876724243164,0.044359300690565054,0.10489307817076804,850,,"{'1005': 0.12419897670312764, '198': 0.12480946089689403, '57': 0.1255074147282172, '592': 0.12516697365593202, '687': 0.1250459102027387, '702': 0.12503925294349783, '743': 0.12400682817343431, '755': 0.12483925706312654}","{'1005': 0.12566278483758042, '198': 0.12480946089689403, '57': 0.12623973001225694, '592': 0.12516697365593202, '687': 0.1250459102027387, '702': 0.12550519948697286, '743': 0.1255473541107455, '755': 0.12483925706312654}",
8,0.6,Honest_HighestBidder,HighestBidder,1.4429262713006419,0.007534842669116979,0.01781707170294118,1.4429262713006419,0.007534842669116979,0.01781707170294118,1.4665875441009626,0.00043020911641622565,0.0010172829096835201,1.4665875441009626,0.00043020911641622565,0.0010172829096835201,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,34.66265001296997,3.4823884930939952,8.234540282209274,850,,"{'755': 0.1822254121971696, '592': 0.18072499028465855, '702': 0.1856443672773891, '57': 0.18408952997461883, '743': 0.18492798906858612, '198': 0.18209943301974746, '1005': 0.1852884985201197, '687': 0.18208889632336123}","{'755': 0.1822254121971696, '592': 0.18072499028465855, '702': 0.1856443672773891, '57': 0.18408952997461883, '743': 0.18492798906858612, '198': 0.18209943301974746, '1005': 0.1852884985201197, '687': 0.18208889632336123}",
8,0.6,Integrated_Honest_LastDiminisher,Hor,0.0040390411403212955,5.727313888312868e-16,1.35429453134527e-15,0.0040390411403212955,5.727313888312868e-16,1.35429453134527e-15,0.003473766717170769,0.0007306942645255905,0.0017278173779713458,0.003473766717170769,0.0007306942645255905,0.0017278173779713458,-0.5765330663254211,1.5004575303206472e-17,3.548018263807224e-17,0,-0.6662022701417285,6.99893313308528e-05,0.0001654984701769295,0,0,-0.00047515032196991,0.002332485729730004,0.005515452321655022,-0.00047515032196991,0.002332485729730004,0.005515452321655022,-0.25995856432291925,0.043693152447064725,0.10331788787941924,850,,"{'1005': 0.1250833455063446, '198': 0.12524840237412843, '57': 0.12560428638087695, '592': 0.1257902867222057, '687': 0.1254233519284089, '702': 0.12669540449964134, '743': 0.12500000000000003, '755': 0.1258117337292151}","{'1005': 0.1250833455063446, '198': 0.12524840237412843, '57': 0.12560428638087695, '592': 0.1257902867222057, '687': 0.1254233519284089, '702': 0.12669540449964134, '743': 0.12500000000000003, '755': 0.1258117337292151}",
16,0.6,Honest_LastDiminisher,Hor,1.0,4.189108907715073e-16,8.928874277647804e-16,1.0,4.189108907715073e-16,8.928874277647804e-16,1.0066067264202847,0.0005768971066009427,0.0012296270756990677,1.0066067264202847,0.0005768971066009427,0.0012296270756990677,0.09129901960784313,8.958804751772547e-18,1.9095240316920298e-17,0,0.015107803826399643,3.699888920046295e-05,7.88612655725265e-05,0,0,1.0188789736791657,0.0030519141929646275,0.006505001119680503,1.0188789736791657,0.0030519141929646275,0.006505001119680503,0.9434535789489746,0.13525510181040107,0.2882894252883593,1650,,"{'0': 0.06249999999999997, '1002': 0.06312364916716956, '1018': 0.06300226058502152, '209': 0.06319314424743398, '212': 0.06259851245459358, '287': 0.0625710116309567, '357': 0.06252618110641933, '406': 0.06296204003692457, '545': 0.06294158563681147, '682': 0.06263181427705297, '746': 0.06278047226872609, '760': 0.06274854140599373, '776': 0.06386409207824684, '777': 0.0633604541449461, '801': 0.06265666282879122, '922': 0.06288025398092748}","{'0': 0.06249999999999997, '1002': 0.06312364916716956, '1018': 0.06300226058502152, '209': 0.06319314424743398, '212': 0.06259851245459358, '287': 0.0625710116309567, '357': 0.06252618110641933, '406': 0.06296204003692457, '545': 0.06294158563681147, '682': 0.06263181427705297, '746': 0.06278047226872609, '760': 0.06274854140599373, '776': 0.06386409207824684, '777': 0.0633604541449461, '801': 0.06265666282879122, '922': 0.06288025398092748}",
16,0.6,Assessor,Assessor,0.9923106111789629,0.002608378456342318,0.005559627075417562,0.9981222313364942,0.0031548270051165164,0.006724354586373878,0.9999445465451623,0.0013645711331319054,0.0029085145215973704,1.0060637883131476,0.0007514996839929583,0.0016017836599347658,0.4526474971660006,1.3689586370548266e-17,2.91786626484002e-17,0,0.04018147131666847,0.0,0.0,0,0,1.0178657867884482,0.0029288906099570163,0.00624278255958585,1.012096787581456,0.003761343714860666,0.008017114351732182,0.8106010723114013,0.0739217766252477,0.157560537194822,1650,,"{'0': 0.06257898186966727, '1002': 0.06192869744871877, '1018': 0.06284545455731282, '209': 0.0623782655796487, '212': 0.06241879427167363, '287': 0.06252366744865266, '357': 0.062287215047254194, '406': 0.0628230732872009, '545': 0.06253927217661148, '682': 0.06229695578787849, '746': 0.062190532850355765, '760': 0.06268480241591716, '776': 0.06235918361349642, '777': 0.06257178248959519, '801': 0.0628123315259385, '922': 0.062399710014945084}","{'0': 0.06293531504318957, '1002': 0.06290180615525293, '1018': 0.06290933130413627, '209': 0.06293350045466523, '212': 0.06296278726356563, '287': 0.06252366744865266, '357': 0.06241258615288827, '406': 0.0628230732872009, '545': 0.06313051488905465, '682': 0.06287469271619182, '746': 0.06267668012116946, '760': 0.06268480241591716, '776': 0.06277007001186619, '777': 0.06314432941109924, '801': 0.06294395462881501, '922': 0.06287712778755278}",
