random06HS_2020-06-15T00-51-47_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0625771727883944,0.1730966345471574,0.03846075575431728,1.0635920392492513,0.17421705804225457,0.038061261835543474,1.1167441362746708,0.10971016784158791,0.039454654052217465,1.118544559901466,0.11149925124948634,0.0380441706646688,0.3651960784313726,-0.4665273109633653,2.74708955197652e-17,0.32702836672235414,-0.5221157669504308,0.015224318589769683,1.0241767383992229,0.25516726532455497,0.03799304296198487,1.0209964620883574,0.25748012189787245,0.036247364672638394,0.201925892829895,0.0538881948931175
Ver,1.0469148161741098,0.15580522428179341,0.03423316759795827,1.0469148161741098,0.15580522428179341,0.03423316759795827,1.0803072552918045,0.0735027896269102,0.0339453096808277,1.0803072552918045,0.0735027896269102,0.0339453096808277,0.17114093959731544,-0.7500000064529909,1.4835979218054374e-17,0.1588423165869622,-0.767884849260116,0.005542231452488369,1.0095926638564887,0.265773536407565,0.015937162683674736,1.0095926638564887,0.265773536407565,0.015937162683674736,0.14975981235504152,0.04223667221885369
HighestScatter,1.0884270218119478,0.20163514607334246,0.04171493031336525,1.0888072377168427,0.2020549085243492,0.041308911458568166,1.1450454228061575,0.1378331947793039,0.037891465660634595,1.1470977451830457,0.13987259031794455,0.03627572692937496,0.5638608639624989,-0.17632091606065445,0.12648341155873546,0.44658739015452065,-0.34740501390574446,0.14082098411268842,1.019562344445569,0.2585230842359879,0.04035742828428447,1.0150576815117585,0.2617991012416323,0.033289534156793005,0.08189872264862061,0.033879588499517437
MostValuableMargin,1.0923916142559873,0.20601209879974924,0.04270507736342124,1.0924731730026853,0.20610214053386466,0.04253583294025946,1.1488292333693066,0.14159317248477915,0.03726787111639564,1.1500518801459876,0.14280811825050096,0.03605837575159273,0.5136473762883591,-0.2496719892991508,0.14184116763595192,0.37132381089556865,-0.4573871485175282,0.1630680035955651,1.012304288512513,0.26380150684251474,0.03931269415995246,1.0101101915849453,0.26539716426513654,0.03307855797608198,0.035017390251159665,0.0504733794079132
LargestMargin,1.090573145284418,0.20400448948420344,0.03998961231960171,1.090573145284418,0.20400448948420344,0.03998961231960171,1.1482564371129593,0.1410239840654062,0.037253679408531276,1.1482564371129593,0.1410239840654062,0.037253679408531276,0.5878699885008005,-0.1412487644541028,0.11499990709113349,0.4674439987608371,-0.3169273996616365,0.15665535616661658,1.0099876507788081,0.26548628209052977,0.029147901438916643,1.0099876507788081,0.26548628209052977,0.029147901438916643,0.01020601749420166,0.03618762674818881
VerHor,1.06560865465269,0.17644342315109826,0.039571056986996526,1.0661080572829555,0.1769947690296392,0.03918031475549816,1.1216571715453227,0.11459225767551723,0.04334707765139769,1.1265155227581356,0.1194200078867598,0.042135656316478164,0.6905773470347087,0.008784529923756078,0.004951973058374138,0.5988721948933174,-0.12487230872458023,0.03257935997433034,1.063403826212633,0.22663935798789453,0.07880779649405563,1.0563709242740287,0.23175403730762054,0.0715152974006541,0.059342145919799805,0.059036057023822565
HorVer,1.0719906074216656,0.18348916769262458,0.03799270933592056,1.073644475808862,0.1853150561915395,0.03767791946861899,1.1263313763039715,0.11923702130467705,0.04291619001203138,1.1296370825907327,0.12252190614011843,0.04140097987466652,0.6868529938971847,0.003344053422116003,0.002203541739663448,0.6039957472407207,-0.11738529801487363,0.023117851594594497,1.039196378395022,0.24424422918003452,0.06126592467068925,1.0321908074718444,0.24933903201340954,0.05530092432205885,0.006394968032836914,0.019433719193655226
SmallestPiece,1.076786560214003,0.18878395119091304,0.0442283799890668,1.0774229698671631,0.1894865542972421,0.04397468916635975,1.1301699620111358,0.12305142914529626,0.04492284039362742,1.130942869258046,0.12381946812829552,0.04470057724318653,0.47841328882981743,-0.3011413902384941,0.15338752482168744,0.3405322038968094,-0.5023827054548218,0.1625077281787041,1.0342100372364056,0.24787054676951809,0.05386508688716188,1.032371835333278,0.24920737946553506,0.053475596883583804,0.0009780263900756837,0.0025848116359241625
SquarePiece,1.0719906074216656,0.18348916769262458,0.03799270933592056,1.073644475808862,0.1853150561915395,0.03767791946861899,1.1263313763039715,0.11923702130467705,0.04291619001203138,1.1296370825907327,0.12252190614011843,0.04140097987466652,0.6868529938971847,0.003344053422116003,0.002203541739663448,0.6039957472407207,-0.11738529801487363,0.023117851594594497,1.039196378395022,0.24424422918003452,0.06126592467068925,1.0321908074718444,0.24933903201340954,0.05530092432205885,0.0007592535018920898,6.429091791872535e-05
SmallestHalfCut,1.0492572214967875,0.1583912649677303,0.036922829980789475,1.0492572214967875,0.1583912649677303,0.036922829980789475,1.0998831023844828,0.09295533552101669,0.041655391565783635,1.0998831023844828,0.09295533552101669,0.041655391565783635,0.3562877970505576,-0.47954038833081963,0.11719168859694841,0.16453457481899839,-0.7595667926743821,0.009015024329117148,1.0372302777993112,0.2456740762254177,0.061679102161577855,1.0372302777993112,0.2456740762254177,0.061679102161577855,0.00041123867034912107,3.6661602567170395e-05
Summary,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,VerHor,VerHor, ,HorVer,HorVer, ,Ver,VerHor, ,Ver,VerHor, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0634857227306669,0.21436277612271393,0.03896094599180895,1.0651034338675698,0.21620999244653058,0.037342205310591174,1.1641312253872178,0.1665104827202194,0.03534217070433284,1.165979529372089,0.16836256427819718,0.03249014651027774,0.1825980392156863,-0.7500001896395995,1.4416768543014455e-17,0.15922226548356685,-0.7816557402928117,0.007739257781660265,1.0748871288332391,0.3185794093884645,0.08360904761328276,1.066939962885745,0.323617484892734,0.06942388980432473,0.4503632116317749,0.08837808190625959
Ver,1.040772211882174,0.18842689235866406,0.02438777878897209,1.041272070703698,0.1889976663081409,0.023993443541976897,1.0988289326784826,0.1010747248527454,0.02012349874006268,1.0997872311139312,0.10203498186342162,0.018951761242249697,0.08557046979865772,-0.882843204045331,7.606346542007027e-18,0.07919791735079634,-0.8913945195931443,0.0024331818882819814,1.0375764212397285,0.3422323899875547,0.03365126955976023,1.0369095701611113,0.3426551376823145,0.03315015373455897,0.34607860565185544,0.05131923522372696
HighestScatter,1.1169633264553278,0.2754272642784391,0.04793771911416222,1.1185081383921947,0.277191239169822,0.04608735843879406,1.249783376346138,0.25233768998191036,0.04104811484174355,1.2510582699623045,0.2536151892321489,0.04016776804683844,0.6243605365502526,-0.14517145745630772,0.09551108463856182,0.37819746551438294,-0.48137124302256884,0.14509728312732892,1.093940928995259,0.3065003255372222,0.07615047333512302,1.089815606556162,0.30911555794396234,0.0755242088519907,0.34405677795410156,0.06626998420196818
MostValuableMargin,1.1218407674722288,0.28099666938380385,0.04425445446548369,1.1218407674722288,0.28099666938380385,0.04425445446548369,1.2531852623778006,0.2557465288055868,0.04126756812352921,1.2533430327042279,0.25590462158381155,0.04136525253372524,0.5710510137841216,-0.21815893661644156,0.12549521318803677,0.32191489529298395,-0.5585525096757401,0.1472506770834638,1.0663847007415428,0.3239694912086504,0.065905168682419,1.0663847007415428,0.3239694912086504,0.065905168682419,0.26161340713500975,0.12471212409713403
LargestMargin,1.1218621814123768,0.2810211213263641,0.04872259021670249,1.1221308904990257,0.2813279522555039,0.04844248770097716,1.2521700950450552,0.25472928666867156,0.04197378229095621,1.2522816896450335,0.25484110934626225,0.04192476029856767,0.632631984326626,-0.13384679929249937,0.0965857481213357,0.4072924034114229,-0.441472849056987,0.1568188768887347,1.0719099715272662,0.3204667668936024,0.06387682268600135,1.0716349507351737,0.3206411152745171,0.06376344703654471,0.31836160182952883,0.1713176549859173
