random06HS_2020-06-15T00-51-47_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.10401076231361156,4.557409699639984e-16,1.0,0.10401076231361156,4.557409699639984e-16,1.1082100443496852,0.10122982908284282,0.038487919077926806,1.1082100443496852,0.10122982908284282,0.038487919077926806,0.36519607843137253,-0.46652731096336536,3.172065784643304e-17,0.3102995456520203,-0.5465614745419293,0.015195187785385244,1.1515737376924275,0.16251777250233507,0.06554790987255357,1.1515737376924275,0.16251777250233507,0.06554790987255357,0.14707966327667235,0.03442928642761846
Ver,0.9999999999999999,0.10401076231361144,4.699637863281278e-16,0.9999999999999999,0.10401076231361144,4.699637863281278e-16,1.0772197761323248,0.07043475738480409,0.03365870065617637,1.0772197761323248,0.07043475738480409,0.03365870065617637,0.17114093959731544,-0.7500000064529909,1.6213259544659314e-17,0.15272450092774048,-0.7768247698961994,0.0061854484096553735,1.0882940030396686,0.20853797198921176,0.04174809288419015,1.0882940030396686,0.20853797198921176,0.04174809288419015,0.12753221035003662,0.03489432613462962
HighestScatter,1.0,0.10401076231361156,4.447966966931459e-16,1.0,0.10401076231361156,4.447966966931459e-16,1.1347995777951385,0.12765188464967517,0.02943076743352592,1.1347995777951385,0.12765188464967517,0.02943076743352592,0.4223535977905087,-0.3830325054272432,0.09252247009799158,0.2589735226471207,-0.6215638279616406,0.06380855503649077,1.14668411039495,0.166073754917261,0.06587298465108785,1.14668411039495,0.166073754917261,0.06587298465108785,0.1080449390411377,0.03998822931912184
MostValuableMargin,1.0,0.10401076231361156,4.513928745312901e-16,1.0,0.10401076231361156,4.513928745312901e-16,1.1341545213349276,0.1270108911673938,0.031149860382643703,1.1341545213349276,0.1270108911673938,0.031149860382643703,0.3995950710774607,-0.41627780339503984,0.0989405422789956,0.24377334334573939,-0.6437757421770933,0.06950161040103066,1.140326784862458,0.17069712116261143,0.07339650097468262,1.140326784862458,0.17069712116261143,0.07339650097468262,0.056459512710571286,0.04663641859191069
LargestMargin,1.0,0.10401076231361156,4.91665080357956e-16,1.0,0.10401076231361156,4.91665080357956e-16,1.1258089179055266,0.11871785368319966,0.03630562237980849,1.1258089179055266,0.11871785368319966,0.03630562237980849,0.42575145835483164,-0.3780689641427726,0.09509364024853678,0.25397354945920375,-0.6288702533219969,0.06678080761345148,1.1580798917810755,0.15778617066021383,0.07919818712135171,1.1580798917810755,0.15778617066021383,0.07919818712135171,0.031254515647888184,0.051843428216461894
VerHor,0.9999999999999999,0.10401076231361144,4.699637863281278e-16,0.9999999999999999,0.10401076231361144,4.699637863281278e-16,1.1060550369342363,0.09908839528165438,0.03310076965579236,1.1060550369342363,0.09908839528165438,0.03310076965579236,0.36999601177975655,-0.459515643802103,0.025517511508015213,0.156527480022596,-0.7712675035151104,0.012303721137022095,1.1835654722140172,0.13925177727189259,0.1085676144103829,1.1835654722140172,0.13925177727189259,0.1085676144103829,0.061481599807739255,0.04516984143797387
HorVer,1.0,0.10401076231361156,4.557409699639984e-16,1.0,0.10401076231361156,4.557409699639984e-16,1.1158691515802965,0.10884069436014031,0.03600473616265549,1.1158691515802965,0.10884069436014031,0.03600473616265549,0.5555729787736022,-0.1884277284260519,0.0212931478181569,0.26709683935229667,-0.6096932828698517,0.021760751071972045,1.1839435764878894,0.13897680086426506,0.10004497404436812,1.1839435764878894,0.13897680086426506,0.10004497404436812,0.03514849185943603,0.032239945103167494
SmallestPiece,1.0,0.10401076231361156,4.543312960083288e-16,1.0,0.10401076231361156,4.543312960083288e-16,1.1160168369187615,0.10898744948193788,0.04618382025199689,1.1160168369187615,0.10898744948193788,0.04618382025199689,0.3517984982531657,-0.48609828542440414,0.11557378312957178,0.2342695988249036,-0.6576634966460949,0.07110678810567345,1.132519861174262,0.17637470795214366,0.06929025432519903,1.132519861174262,0.17637470795214366,0.06929025432519903,0.014908833503723145,0.022452624192528234
SquarePiece,1.0,0.10401076231361156,4.557409699639984e-16,1.0,0.10401076231361156,4.557409699639984e-16,1.1125983458924025,0.10559049029728466,0.036843340140752676,1.1125983458924025,0.10559049029728466,0.036843340140752676,0.48836238293514156,-0.2866079100087956,0.03081671205451672,0.3158099980760395,-0.5385090894941078,0.02336908392797575,1.1567106913615632,0.1587819219349187,0.07086095908337156,1.1567106913615632,0.1587819219349187,0.07086095908337156,0.01779942512512207,0.022248583121759823
SmallestHalfCut,0.9999999999999999,0.10401076231361144,4.699637863281278e-16,0.9999999999999999,0.10401076231361144,4.699637863281278e-16,1.106774550906483,0.09980337729496476,0.04059915925590741,1.106774550906483,0.09980337729496476,0.04059915925590741,0.3151241851177235,-0.5396715453864838,0.09117297571170957,0.15643237517467173,-0.7714064795549113,0.01230079624136359,1.1546670208339174,0.16026818172857624,0.10809210911140854,1.1546670208339174,0.16026818172857624,0.10809210911140854,0.02660433292388916,0.02598178644942228
Summary,Hor,Hor, ,Hor,Hor, ,HighestScatter,HighestScatter, ,HighestScatter,HighestScatter, ,HorVer,HorVer, ,SquarePiece,SquarePiece, ,Ver,HorVer, ,Ver,HorVer, ,SmallestPiece, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.14187031397529856,4.0550366944415644e-16,1.0,0.14187031397529856,4.0550366944415644e-16,1.144371137752556,0.14671000931771616,0.03752630003439229,1.144371137752556,0.14671000931771616,0.03752630003439229,0.1825980392156863,-0.7500001896395995,1.3838080179054133e-17,0.14970036481602367,-0.7947132881548893,0.010509490439496378,1.2210524686747535,0.2259184503630702,0.06203339254746521,1.2210524686747535,0.2259184503630702,0.06203339254746521,0.34553595542907717,0.05925694122292999
Ver,1.0,0.14187031397529856,3.5806426951191126e-16,1.0,0.14187031397529856,3.5806426951191126e-16,1.0972736371128666,0.0995162505661238,0.018489043078697573,1.0972736371128666,0.0995162505661238,0.018489043078697573,0.08557046979865772,-0.882843204045331,7.709000935711847e-18,0.07415916565575979,-0.8983042473586661,0.002641131408016428,1.1069934255547071,0.29822574518742434,0.04241749092923869,1.1069934255547071,0.29822574518742434,0.04241749092923869,0.3019945526123047,0.05184923492523286
HighestScatter,1.0,0.14187031397529856,4.1700300621728636e-16,1.0,0.14187031397529856,4.1700300621728636e-16,1.183556987820898,0.18597594762619102,0.0343926478107449,1.183556987820898,0.18597594762619102,0.0343926478107449,0.2904589898884069,-0.6023249061080981,0.05624248672444589,0.12350762948602202,-0.8306318413042652,0.028771117977377175,1.2968878200818672,0.17784291893386664,0.09486553556523412,1.2968878200818672,0.17784291893386664,0.09486553556523412,0.44037654876708987,0.09189713172019726
MostValuableMargin,1.0,0.14187031397529856,3.8304582437427947e-16,1.0,0.14187031397529856,3.8304582437427947e-16,1.1858860200341292,0.1883097399273327,0.03564421105854833,1.1858860200341292,0.1883097399273327,0.03564421105854833,0.282756863841492,-0.6128700908174814,0.0600359869693444,0.11169468929380505,-0.8468311314814365,0.03046350331595369,1.284507481059924,0.1856913875795568,0.11866066749352111,1.284507481059924,0.1856913875795568,0.11866066749352111,0.7215867853164672,0.17449233621684726
LargestMargin,1.0,0.14187031397529856,3.5677632765963613e-16,1.0,0.14187031397529856,3.5677632765963613e-16,1.1825682439692606,0.1849851829748292,0.030861089047285906,1.1825682439692606,0.1849851829748292,0.030861089047285906,0.3078428085157739,-0.5785242597328768,0.05093822044394983,0.11247794102977132,-0.8457570447641389,0.03456404891713432,1.3077542959876503,0.17095415802961964,0.10685090663710779,1.3077542959876503,0.17095415802961964,0.10685090663710779,0.40396211624145506,0.11879566126974944
