random06_2020-06-30T17-18-48_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0002630927788008,0.0008975213977393424,0.00018506435481996361,1.0002708681770474,0.0009053017276236255,0.00018379188023190447,1.0004612130720545,0.00048805295675420705,0.0002286396041758533,1.0004797612806369,0.0005066016629388669,0.00022362452815277863,0.3651960784313726,-0.4665273109633653,2.803736533363884e-17,0.3648683861211995,-0.4668204149592975,9.189668450441054e-05,1.000279552205183,0.0011659222757590833,0.00027968037098617855,1.000236240723309,0.001209171169488043,0.00024944976000089897,0.20941474437713622,0.03858813483367927
Ver,1.0002327422809452,0.0008671516497238794,0.00011819941650553869,1.000234633122184,0.0008690436902510675,0.00011607288873180323,1.000467310764542,0.0004941508128277279,0.0001395523341398649,1.00047712613179,0.0005039664433974729,0.00013351580704658287,0.17114093959731544,-0.7500000064529909,1.7155568753514518e-17,0.17104833416196374,-0.7500482823412242,4.0052572849598725e-05,1.000344294388664,0.0011012736492981151,0.000350456940487251,1.0003350053639046,0.0011105492507617692,0.00034166035755810073,0.1459165620803833,0.03986190545031033
HighestScatter,1.0003439921856914,0.0009784721160292704,0.0001841377995935591,1.0003454086542547,0.0009798894830044301,0.00018397428532690704,1.0005868750763518,0.0006137183322503836,0.00019520056113304422,1.000588026889486,0.0006148701762848675,0.00019507690449286136,0.5450467715810674,-0.20380424637903308,0.1380137136662402,0.45773229508372587,-0.3311190433708846,0.1992559967325961,1.0001930472200213,0.0012523022551179227,0.00023536682065907377,1.0001898953471713,0.0012554495732894704,0.0002373138279634988,0.09864257335662842,0.027573434325510873
MostValuableMargin,1.0003800665116953,0.0010145693225983277,0.00018568773468089503,1.0003814829802586,0.0010159866895734877,0.00018524432865039853,1.0006299103402532,0.0006567547506807907,0.00019105287752442749,1.0006308469944827,0.0006576914300384036,0.00019099571018099415,0.4455553278063658,-0.34913978304362303,0.1535215907096723,0.32934208911832596,-0.5187347408218096,0.18928843966092918,1.0001709792933955,0.0012743382920338228,0.00021087224829511512,1.0001686502149048,0.0012766640048419212,0.0002121261572330795,0.02861128330230713,0.046710658701177486
LargestMargin,1.0003787689120518,0.0010132708999369953,0.00018546118755115214,1.0003861088357364,0.0010206154790544548,0.00018392423407605636,1.0006007202604157,0.0006275638877461059,0.000197095358948859,1.0006073727112665,0.0006342165170656602,0.0001969373592888357,0.5315981705268429,-0.22344975133350728,0.12880235255304473,0.4269595592153582,-0.3760870240591685,0.20156661611054275,1.000206098013033,0.0012392703214223985,0.00023948237197782821,1.0001961100245953,0.0012492438765125242,0.00022786967943012618,0.017134084701538085,0.03832225996862737
VerHor,1.0002338234939818,0.0008682335485326091,0.00015612896585972058,1.0002509072797838,0.0008853281699264837,0.00015517399438987086,1.0004594977983938,0.00048633763707702025,0.0001720360515720641,1.0004858567158257,0.0005126972616530376,0.00016226599182735498,0.6845638536411026,1.1333042743084094e-07,8.694594622702261e-08,0.6841734414186614,-0.00022220212222294608,0.00014820726348979145,1.000355919744874,0.0010896650925476124,0.00032206010826453643,1.0003260712332112,0.0011194704710064587,0.0003086327924488149,0.04269676685333252,0.057678736219328286
HorVer,1.0002583226396202,0.0008927482330419784,0.0001481909555265422,1.0002608069320618,0.0008952341011751882,0.00014776492614001216,1.0004742954217454,0.0005011356574119788,0.00015862715312740336,1.000491454851986,0.0005182955479975116,0.00015693915192779989,0.6845637959378376,2.9038405163417215e-08,4.334520604024693e-08,0.684212404277664,-0.00016526597268184265,0.00016377594850261676,1.000312206597928,0.0011333150709140923,0.00034128566875021605,1.0002752210724222,0.0011702471497277449,0.0003075705239650121,0.020782151222229005,0.038454891558975295
SmallestPiece,1.0002735800379365,0.0009080153085424386,0.00017288351012525552,1.0002871670733162,0.0009216109616589464,0.00017454473036993464,1.0005306466568453,0.000557488404275336,0.00018582574162117284,1.0005400120357584,0.0005668540344381975,0.00018704956032061708,0.3711906102797565,-0.45777059309714624,0.15176859319850725,0.2666334633514111,-0.6103704109337447,0.11368542107335965,1.0002568463465238,0.0011885953228516358,0.0002760904333395139,1.0002475340682375,0.0011978941442391858,0.0002767567510640829,0.0005176734924316407,4.3352677576391067e-05
SquarePiece,1.0002583226396202,0.0008927482330419784,0.0001481909555265422,1.0002608069320618,0.0008952341011751882,0.00014776492614001216,1.0004742954217454,0.0005011356574119788,0.00015862715312740336,1.000491454851986,0.0005182955479975116,0.00015693915192779989,0.6845637959378376,2.9038405163417215e-08,4.334520604024693e-08,0.684212404277664,-0.00016526597268184265,0.00016377594850261676,1.000312206597928,0.0011333150709140923,0.00034128566875021605,1.0002752210724222,0.0011702471497277449,0.0003075705239650121,0.0008655166625976562,0.00010295453062767482
SmallestHalfCut,1.000239438935894,0.0008738525521047515,0.00013740605497397355,1.0002496128875693,0.0008840329567284898,0.0001399400826029998,1.000477777238658,0.000504617567733027,0.00016538818783287958,1.0004908820260725,0.0005177227067164261,0.00016321358334587258,0.4277954484594718,-0.37508313553757416,4.399804451739456e-05,0.17112903645128716,-0.7499303526581658,5.4237152669764644e-05,1.0003199541397958,0.0011255787247905263,0.000304475717401217,1.0002983087010544,0.0011471928843467532,0.0002991060811946304,0.0006479406356811523,0.0012138523092931003
Summary,MostValuableMargin,MostValuableMargin, ,LargestMargin,LargestMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,VerHor,VerHor, ,HorVer,HorVer, ,MostValuableMargin,VerHor, ,MostValuableMargin,Ver, ,SmallestPiece, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0003978440900734,0.0015961659457588045,0.00018818182554727702,1.0004475238504307,0.001645905214783556,0.00020755907070655087,1.0008796714287012,0.0008712886392030704,0.00016841146844063747,1.000966962460015,0.0009585789394177422,0.00017405333656353626,0.1825980392156863,-0.7500001896395995,1.1974285745922076e-17,0.182236291416048,-0.7500962065815654,7.973535021654295e-05,1.0012062675952413,0.0014969766514783905,0.00047079536117945037,1.0010542566000444,0.0016485772189128015,0.0004928742311165565,0.4872851181030273,0.07338584107839626
Ver,1.0003906731364705,0.001588986402462815,0.00017633991098061104,1.0004623533550165,0.0016607524828217927,0.00018627250929568144,1.0009339814016855,0.0009255981573185243,0.00018531902809558476,1.0010028237377047,0.0009944399167540318,0.00016849616430409102,0.08557046979865772,-0.882843204045331,5.7800509367311936e-18,0.08546899458946317,-0.8827948823936306,2.5340099859882565e-05,1.0011502325856303,0.0015528603672729168,0.00044418407926718014,1.0010513342810974,0.0016514916476356944,0.00047175182848778637,0.33684378147125243,0.06271534150210005
HighestScatter,1.0004817757996,0.0016801981924892797,0.00018016779987775576,1.000524928909319,0.0017234029929578559,0.00019760591187507076,1.0010555606382652,0.0010471763756207538,0.00018687962452191282,1.0011139096902626,0.0011055249389202465,0.00019761202213879617,0.5778548463840568,-0.20884362925052546,0.11662042459921425,0.39009617659263846,-0.4650543337388006,0.19437911730962312,1.0009248985985226,0.001777585955468238,0.00045147567077675853,1.0008294401918925,0.001872786625609056,0.0004655393648694962,0.37715792655944824,0.05847024559938689
MostValuableMargin,1.0006000155982389,0.0017985796241151398,0.00019987373918647002,1.0006117760257096,0.0018103541387586644,0.00020502609076282572,1.0011522136674542,0.0011438285952999007,0.000173035555466998,1.001174335000567,0.00116594974313726,0.00019093448402404721,0.3980323323985448,-0.45504339452733966,0.13063314644689222,0.18897522010069565,-0.740854996563606,0.1285068510803488,1.0008664095139064,0.0018359171202965295,0.000394008083730841,1.0008192827676337,0.0018829166249509609,0.00043282484981960987,0.3425505208969116,0.18430955105675342
