
NumberOfAgents,NoiseProportion,Algorithm,Method,egalitarianGain_Avg,egalitarianGain_StDev,egalitarianGain_interval,ttc_egalitarianGain_Avg,ttc_egalitarianGain_StDev,ttc_egalitarianGain_interval,utilitarianGain_Avg,utilitarianGain_StDev,utilitarianGain_interval,ttc_utilitarianGain_Avg,ttc_utilitarianGain_StDev,ttc_utilitarianGain_interval,averageFaceRatio_Avg,averageFaceRatio_StDev,averageFaceRatio_interval,largestFaceRatio,smallestFaceRatio_Avg,smallestFaceRatio_StDev,smallestFaceRatio_interval,averageInheritanceGain,largestInheritanceGain,largestEnvy_Avg,largestEnvy_StDev,largestEnvy_interval,ttc_largestEnvy_Avg,ttc_largestEnvy_StDev,ttc_largestEnvy_interval,experimentDurationSec_Avg,experimentDurationSec_StDev,experimentDurationSec_interval,experiment,dishonestAgent,relativeValues,ttc_relativeValues,comment
4,0.6,Honest_EvenPaz,Hor,1.0002630927788008,0.00018506435481996361,0.000588957372236609,1.0002708681770474,0.00018379188023190447,0.0005849077901852721,1.0004612130720545,0.0002286396041758533,0.0007276332635511006,1.0004797612806369,0.00022362452815277863,0.000711673053390747,0.3651960784313726,2.803736533363884e-17,8.9227409715944e-17,0,0.3648683861211995,9.189668450441054e-05,0.00029245626406893487,0,0,1.000279552205183,0.00027968037098617855,0.0008900677633054959,1.000236240723309,0.00024944976000089897,0.0007938604670689071,0.20941474437713622,0.03858813483367927,0.12280466712925354,450,,"{'189': 0.25008794549896707, '273': 0.25020728962262734, '468': 0.2500897858164143, '711': 0.250121761931497}","{'189': 0.25008794549896707, '273': 0.25020728962262734, '468': 0.2500897858164143, '711': 0.250121761931497}",
4,0.6,Assessor,Assessor,0.99936614028372,0.0004075252205169217,0.001296927132344232,0.9997652255963936,0.0003533290041842525,0.0011244505839159422,0.9999731732081953,0.0003019566498273432,0.0009609608245990422,1.0003842103576341,0.00020541644323165902,0.0006537268008072278,0.6845637760591973,0.0,0.0,0,0.6843254999970521,0.0,0.0,0,0,1.0014471617590737,0.0005917986963382483,0.0018833675746337017,1.0008987566558654,0.000573207792379829,0.0018242030210193357,0.07642853260040283,0.08200562150040895,0.26097848715651617,450,,"{'189': 0.2501291464019559, '273': 0.24981218135243924, '468': 0.24993219651942714, '711': 0.24997222778877445}","{'189': 0.2501291464019559, '273': 0.25036258747408136, '468': 0.2499328922273813, '711': 0.25009300873933016}",
4,0.6,Honest_HighestBidder,HighestBidder,1.3577746780508366,0.0009132280772415048,0.0029062993202990787,1.3577746780508366,0.0009132280772415048,0.0029062993202990787,1.3599784889672923,0.00017472009972722987,0.0005560373358358206,1.3599784889672923,0.00017472009972722987,0.0005560373358358206,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,18.578783631324768,1.737534826320891,5.5296112883276525,450,,"{'711': 0.3400564405475198, '189': 0.3403900037026556, '468': 0.33965327636637194, '273': 0.3398584622844026}","{'711': 0.3400564405475198, '189': 0.3403900037026556, '468': 0.33965327636637194, '273': 0.3398584622844026}",
4,0.6,Integrated_Honest_EvenPaz,Hor,0.0008975213977393424,0.00018506435481996361,0.000588957372236609,0.0009053017276236255,0.00018379188023190447,0.0005849077901852721,0.00048805295675420705,0.0002286396041758533,0.0007276332635511006,0.0005066016629388669,0.00022362452815277863,0.000711673053390747,-0.4665273109633653,2.803736533363884e-17,8.9227409715944e-17,0,-0.4668204149592975,9.189668450441054e-05,0.00029245626406893487,0,0,-0.0011659222757590833,0.00027968037098617855,0.0008900677633054959,-0.001209171169488043,0.00024944976000089897,0.0007938604670689071,1.740007393207919,0.03858813483367927,0.12280466712925354,450,,"{'189': 0.25008794549896707, '273': 0.25020728962262734, '468': 0.2500897858164143, '711': 0.250121761931497}","{'189': 0.25008794549896707, '273': 0.25020728962262734, '468': 0.2500897858164143, '711': 0.250121761931497}",
8,0.6,Honest_EvenPaz,Hor,1.0003978440900734,0.00018818182554727702,0.0004449793082884807,1.0004475238504307,0.00020755907070655087,0.0004907992121098715,1.0008796714287012,0.00016841146844063747,0.00039822984242298705,1.000966962460015,0.00017405333656353626,0.00041157074060739544,0.1825980392156863,1.1974285745922076e-17,2.831468646333429e-17,0,0.182236291416048,7.973535021654295e-05,0.00018854414278483679,0,0,1.0012062675952413,0.00047079536117945037,0.0011132541283080811,1.0010542566000444,0.0004928742311165565,0.0011654623595962646,0.4872851181030273,0.07338584107839626,0.17352993949476359,850,,"{'2': 0.12513652342053933, '279': 0.12521778500743438, '500': 0.1252004004923075, '506': 0.12510631204485484, '682': 0.12510525245568116, '749': 0.1251801610590406, '879': 0.1251350190955595, '913': 0.12511060672273291}","{'2': 0.12513652342053933, '279': 0.12521778500743438, '500': 0.1252004004923075, '506': 0.12510631204485484, '682': 0.12510525245568116, '749': 0.1251801610590406, '879': 0.1251350190955595, '913': 0.12511060672273291}",
8,0.6,Assessor,Assessor,0.9988035878166986,0.0005129445416529667,0.0012129211026159676,0.9995543106833982,0.0007821446453453384,0.0018494781961814369,1.000008375492027,0.00026200619717905066,0.0006195462077645694,1.0008500387106627,0.0002054865849294764,0.00048589856198152736,0.7303927109082697,5.535232071621653e-17,1.3088743991526538e-16,0,0.7292257909463372,0.0,0.0,0,0,1.002707297007128,0.0007384080488801667,0.0017460575795232407,1.001759847969924,0.0010323103441266233,0.002441026074290601,0.37651547908782956,0.05194851240611588,0.12283871223941101,850,,"{'2': 0.12499417415400285, '279': 0.12499282825125607, '500': 0.12491480013014378, '506': 0.1250857925236571, '682': 0.12491600676862384, '749': 0.12494647891760673, '879': 0.12494753466745102, '913': 0.12485298621751957}","{'2': 0.12499417415400285, '279': 0.12506127254956345, '500': 0.1250865743261748, '506': 0.12517319063419352, '682': 0.1250737981525252, '749': 0.1252098647567624, '879': 0.1250848191435264, '913': 0.12485298621751957}",
8,0.6,Honest_HighestBidder,HighestBidder,1.4603271013872592,0.001849519938375397,0.004373419699009538,1.4603271013872592,0.001849519938375397,0.004373419699009538,1.4666194242444472,0.00013810285154991308,0.00032656135190859976,1.4666194242444472,0.00013810285154991308,0.00032656135190859976,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,35.02313737392426,3.476413684763402,8.220412105535614,850,,"{'2': 0.18331420602863105, '749': 0.1834331920967755, '682': 0.18287360966666316, '879': 0.1835028304837108, '506': 0.1835957749229356, '913': 0.18314865829715213, '500': 0.18317216646643436, '279': 0.18356488598802514}","{'2': 0.18331420602863105, '749': 0.1834331920967755, '682': 0.18287360966666316, '879': 0.1835028304837108, '506': 0.1835957749229356, '913': 0.18314865829715213, '500': 0.18317216646643436, '279': 0.18356488598802514}",
8,0.6,Integrated_Honest_EvenPaz,Hor,0.0015961659457588045,0.00018818182554727702,0.0004449793082884807,0.001645905214783556,0.00020755907070655087,0.0004907992121098715,0.0008712886392030704,0.00016841146844063747,0.00039822984242298705,0.0009585789394177422,0.00017405333656353626,0.00041157074060739544,-0.7500001896395995,1.1974285745922076e-17,2.831468646333429e-17,0,-0.7500962065815654,7.973535021654295e-05,0.00018854414278483679,0,0,-0.0014969766514783905,0.00047079536117945037,0.0011132541283080811,-0.0016485772189128015,0.0004928742311165565,0.0011654623595962646,0.2941967732204672,0.07338584107839626,0.17352993949476359,850,,"{'2': 0.12513652342053933, '279': 0.12521778500743438, '500': 0.1252004004923075, '506': 0.12510631204485484, '682': 0.12510525245568116, '749': 0.1251801610590406, '879': 0.1251350190955595, '913': 0.12511060672273291}","{'2': 0.12513652342053933, '279': 0.12521778500743438, '500': 0.1252004004923075, '506': 0.12510631204485484, '682': 0.12510525245568116, '749': 0.1251801610590406, '879': 0.1251350190955595, '913': 0.12511060672273291}",
16,0.6,Honest_EvenPaz,Hor,1.000502099234549,0.0001928195396827342,0.00041098512023172166,1.0006200143689967,0.00024177761083813692,0.0005153367787473658,1.0015208616548823,0.0001910397492886649,0.0004071915868050918,1.0017904408657325,0.0001640635136714332,0.00034969310165784207,0.09129901960784315,7.359474614352452e-18,1.5686348822316907e-17,0,0.09088381867757812,7.005725579553895e-05,0.00014932350602853473,0,0,1.0026010722380228,0.0006764413738554301,0.0014418006589016806,1.002429949164672,0.0006973305583517431,0.0014863249017034517,1.0748375511169435,0.15757989540727327,0.3358735964551183,1650,,"{'0': 0.06251852987269997, '1003': 0.06256602609995712, '153': 0.06262727706376153, '198': 0.06257985829997575, '277': 0.06256721499633706, '286': 0.06257677254529115, '344': 0.06258960057861614, '523': 0.06257797176575992, '570': 0.06255028720740842, '589': 0.06253404042660697, '615': 0.06258771007770941, '713': 0.06255011873305859, '717': 0.06269153803993985, '77': 0.06261367547187131, '781': 0.06259536123111202, '84': 0.06255180268140813}","{'0': 0.06251852987269997, '1003': 0.06261054514757408, '153': 0.06262727706376153, '198': 0.06257985829997575, '277': 0.06265015359194465, '286': 0.06257677254529115, '344': 0.06270328338345968, '523': 0.06257797176575992, '570': 0.06255028720740842, '589': 0.0625416974135744, '615': 0.06258771007770941, '713': 0.06255011873305859, '717': 0.06269153803993985, '77': 0.06261367547187131, '781': 0.06259536123111202, '84': 0.06275156994449961}",
16,0.6,Assessor,Assessor,0.9978610814014348,0.0007652409376055389,0.0016310724487027162,0.999625187861762,0.0008859229273820274,0.0018883000209690074,1.0000652281894462,0.0003444701901930093,0.0007342208303456232,1.0016822498990787,0.00017285804257165493,0.000368438196285628,0.684564094467209,6.187561321450361e-17,1.3188474766725815e-16,0,0.6825411268179914,0.0,0.0,0,0,1.004838431666108,0.0008794934465783818,0.0018745959070318944,1.0028950948311703,0.0011420706319293,0.002434265929422355,0.6549677181243897,0.05836651618881122,0.12440528440652254,1650,,"{'0': 0.06256864291070323, '1003': 0.06250545475935089, '153': 0.06243900618537914, '198': 0.06247938730826318, '277': 0.06254970940091605, '286': 0.0625623022520316, '344': 0.06255280051495106, '523': 0.062307493221845534, '570': 0.06254972217558277, '589': 0.06231739107485221, '615': 0.06247473429308582, '713': 0.06254279844546724, '717': 0.06238885171689385, '77': 0.06255528204482202, '781': 0.062458787667056155, '84': 0.06251493790604423}","{'0': 0.0625900564631177, '1003': 0.06265525559258475, '153': 0.0626344769958064, '198': 0.0625921173549783, '277': 0.06261774909186135, '286': 0.06261644135940223, '344': 0.06262532524986011, '523': 0.0627217868739926, '570': 0.06256876204324531, '589': 0.06242529801798357, '615': 0.06258483956637048, '713': 0.06257204710257053, '717': 0.06263967731020295, '77': 0.06265429317468635, '781': 0.06255731932912759, '84': 0.06270710898331128}",
