4,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.35947938340415625,0.26432724317809064,0.0002517151476238909,0.35947938340415625,0.26432724317809064,0.0002517151476238909
LastDiminisher_Hor,0.35949445561294524,0.26433832661637213,0.0002896962613885734,0.35949445561294524,0.26433832661637213,0.0002896962613885734
LastDiminisher_SmallestPiece,0.35942999381502366,0.2642909275428028,0.0002851058447479038,0.35942999381502366,0.2642909275428028,0.0002851058447479038
LastDiminisher_Ver,0.3594973548471094,0.2643404577441928,0.00024078364981424094,0.3594973548471094,0.2643404577441928,0.00024078364981424094
LastDiminisher_LargestMargin,0.35937577661934555,0.26425106062657483,0.00027965684843466083,0.35937577661934555,0.26425106062657483,0.00027965684843466083
LastDiminisher_VerHor,0.3594791407436931,0.26432706475013107,0.0002518300594822167,0.3594791407436931,0.26432706475013107,0.0002518300594822167
LastDiminisher_HorVer,0.3595028504358668,0.26434449685218697,0.00028588540406749793,0.3595028504358668,0.26434449685218697,0.00028588540406749793
LastDiminisher_MostValuableMargin,0.35933029966952224,0.26421762031736423,0.0002690417348854742,0.35933029966952224,0.26421762031736423,0.0002690417348854742
LastDiminisher_SquarePiece,0.3595028538659591,0.26434450266030146,0.0002677536728382763,0.3595028538659591,0.26434450266030146,0.0002677536728382763
LastDiminisher_HighestScatter,0.359381290419752,0.2642551153361156,0.00025846267962153184,0.359381290419752,0.2642551153361156,0.00025846267962153184

8,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.4655807968563222,0.3174516723446289,0.00022612273346101096,0.4655807968563222,0.3174516723446289,0.00022612273346101096
LastDiminisher_Hor,0.46567151869788753,0.31751352890221873,0.00021657805608786348,0.46567151869788753,0.31751352890221873,0.00021657805608786348
LastDiminisher_SmallestPiece,0.4655437715082722,0.317426424176346,0.0002434062580064007,0.4655437715082722,0.317426424176346,0.0002434062580064007
LastDiminisher_Ver,0.46560698592062566,0.317469527928182,0.0001980352733528883,0.46560698592062566,0.317469527928182,0.0001980352733528883
LastDiminisher_LargestMargin,0.46547558063748623,0.31737993105237516,0.00019177353735169692,0.46547558063748623,0.31737993105237516,0.00019177353735169692
LastDiminisher_VerHor,0.46561571771395827,0.3174754803458702,0.00021542898134504598,0.46561571771395827,0.3174754803458702,0.00021542898134504598
LastDiminisher_HorVer,0.46560555995223046,0.3174685533883677,0.0002314883973445053,0.46560555995223046,0.3174685533883677,0.0002314883973445053
LastDiminisher_MostValuableMargin,0.4654522757505801,0.3173640391989835,0.00022024895957027462,0.4654522757505801,0.3173640391989835,0.00022024895957027462
LastDiminisher_SquarePiece,0.46561890549565893,0.3174776534290109,0.00022146782003104034,0.46561890549565893,0.3174776534290109,0.00022146782003104034
LastDiminisher_HighestScatter,0.4654974377965375,0.3173948321640393,0.00022668298150597385,0.4654974377965375,0.3173948321640393,0.00022668298150597385

16,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.5275360686195977,0.3449423502373825,0.00019026212681472256,0.5275360686195977,0.3449423502373825,0.00019026212681472256
LastDiminisher_Hor,0.5275338175200437,0.34494087759753606,0.00020832436368582627,0.5275338175200437,0.34494087759753606,0.00020832436368582627
LastDiminisher_SmallestPiece,0.5274252533994571,0.3448698910184216,0.00017427247706030183,0.5274252533994571,0.3448698910184216,0.00017427247706030183
LastDiminisher_Ver,0.5275563704056375,0.3449556245040639,0.00020084625627465568,0.5275563704056375,0.3449556245040639,0.00020084625627465568
LastDiminisher_LargestMargin,0.5273858667617567,0.3448441361268209,0.00018950032587527533,0.5273858667617567,0.3448441361268209,0.00018950032587527533
LastDiminisher_VerHor,0.5275350518896302,0.3449416854626409,0.00018885228117450681,0.5275350518896302,0.3449416854626409,0.00018885228117450681
LastDiminisher_HorVer,0.5275464687158644,0.34494915062567505,0.00015886473102875136,0.5275464687158644,0.34494915062567505,0.00015886473102875136
LastDiminisher_MostValuableMargin,0.5273377152970059,0.3448126515917771,0.00015233424819911188,0.5273377152970059,0.3448126515917771,0.00015233424819911188
LastDiminisher_SquarePiece,0.5275138767021413,0.3449278393484818,0.00018833248959795716,0.5275138767021413,0.3449278393484818,0.00018833248959795716
LastDiminisher_HighestScatter,0.5274012843684872,0.3448542165037469,0.00020802488235150267,0.5274012843684872,0.3448542165037469,0.00020802488235150267

32,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.5604701010390972,0.35845300976295147,0.00019226374024170634,0.5604701010390972,0.35845300976295147,0.00019226374024170634
LastDiminisher_Hor,0.5604659100541042,0.3584503310489678,0.00014679611153270439,0.5604659100541042,0.3584503310489678,0.00014679611153270439
LastDiminisher_SmallestPiece,0.5603790432596204,0.3583947742928798,0.00017931107757242112,0.5603790432596204,0.3583947742928798,0.00017931107757242112
LastDiminisher_Ver,0.5604614872543509,0.3584475019315021,0.00017420223260756286,0.5604614872543509,0.3584475019315021,0.00017420223260756286
LastDiminisher_LargestMargin,0.5602967301505012,0.3583421302996737,0.00017651096234844586,0.5602967301505012,0.3583421302996737,0.00017651096234844586
LastDiminisher_VerHor,0.5604447073188044,0.3584367702682156,0.00017597534292234418,0.5604447073188044,0.3584367702682156,0.00017597534292234418
LastDiminisher_HorVer,0.5604668977824955,0.35845096188041936,0.00019221613121149972,0.5604668977824955,0.35845096188041936,0.00019221613121149972
LastDiminisher_MostValuableMargin,0.5602706668368745,0.3583254617552477,0.00018197611324881146,0.5602706668368745,0.3583254617552477,0.00018197611324881146
LastDiminisher_SquarePiece,0.5604953722296052,0.3584691737077752,0.00015720920488052368,0.5604953722296052,0.3584691737077752,0.00015720920488052368
LastDiminisher_HighestScatter,0.5603249961339043,0.35836020869245977,0.0001699821500782885,0.5603249961339043,0.35836020869245977,0.0001699821500782885

64,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.576435532035905,0.3644879270949244,0.00016069354379838444,0.576435532035905,0.3644879270949244,0.00016069354379838444
LastDiminisher_Hor,0.5764475677920812,0.36449553681580277,0.00015856287023682165,0.5764475677920812,0.36449553681580277,0.00015856287023682165
LastDiminisher_SmallestPiece,0.5763423576073038,0.3644290116254645,0.0001739832803912251,0.5763423576073038,0.3644290116254645,0.0001739832803912251
LastDiminisher_Ver,0.5764382912267327,0.36448967124248555,0.000168428798029337,0.5764382912267327,0.36448967124248555,0.000168428798029337
LastDiminisher_LargestMargin,0.5762202136312912,0.364351778351679,0.0001485400441514741,0.5762202136312912,0.364351778351679,0.0001485400441514741
LastDiminisher_VerHor,0.576427045365381,0.3644825607748452,0.0001721547312368884,0.576427045365381,0.3644825607748452,0.0001721547312368884
LastDiminisher_HorVer,0.5764174265328734,0.36447647798604194,0.00016548104488885637,0.5764174265328734,0.36447647798604194,0.00016548104488885637
LastDiminisher_MostValuableMargin,0.5762045801849008,0.3643418930370146,0.000142248929900674,0.5762045801849008,0.3643418930370146,0.000142248929900674
LastDiminisher_SquarePiece,0.5764407934674513,0.36449125394203863,0.0001449448528852824,0.5764407934674513,0.36449125394203863,0.0001449448528852824
LastDiminisher_HighestScatter,0.5763259252349738,0.3644186214863345,0.00014708424735423848,0.5763259252349738,0.3644186214863345,0.00014708424735423848

128,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.5825658163943739,0.3662409169837671,0.0001724370147182788,0.5825658163943739,0.3662409169837671,0.0001724370147182788
LastDiminisher_Hor,0.5826150655152095,0.36627187754867113,0.00016702656693108324,0.5826150655152095,0.36627187754867113,0.00016702656693108324
LastDiminisher_SmallestPiece,0.5824482888413128,0.3661670301647378,0.0001666917990575061,0.5824482888413128,0.3661670301647378,0.0001666917990575061
LastDiminisher_Ver,0.5825889824031232,0.36625548023629484,0.0001412899013901304,0.5825889824031232,0.36625548023629484,0.0001412899013901304
LastDiminisher_LargestMargin,0.5823666582131133,0.3661157124068364,0.00013711724991585642,0.5823666582131133,0.3661157124068364,0.00013711724991585642
LastDiminisher_VerHor,0.5825403411364044,0.3662249009245966,0.0001681823305389994,0.5825403411364044,0.3662249009245966,0.0001681823305389994
LastDiminisher_HorVer,0.5826176717976387,0.366273516764149,0.00014458344884839093,0.5826176717976387,0.366273516764149,0.00014458344884839093
LastDiminisher_MostValuableMargin,0.582345652430198,0.36610250732898914,0.0001594635527236146,0.582345652430198,0.36610250732898914,0.0001594635527236146
LastDiminisher_SquarePiece,0.582571542922975,0.36624451612257675,0.00013019984493187572,0.582571542922975,0.36624451612257675,0.00013019984493187572
LastDiminisher_HighestScatter,0.582410844214267,0.36614349021853776,0.0001474091365111189,0.582410844214267,0.36614349021853776,0.0001474091365111189

