random06_2020-06-30T17-18-48_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.0006342617492524781,6.19796004536069e-16,1.0,0.0006342617492524781,6.19796004536069e-16,1.000484033354347,0.0005108738512580943,0.00022237722276286323,1.000484033354347,0.0005108738512580943,0.00022237722276286323,0.36519607843137253,-0.46652731096336536,2.967195843610875e-17,0.3647444642560879,-0.4670015011019476,0.00011625747415034306,1.00078842291115,0.0006577869238417542,0.00037696097755763865,1.00078842291115,0.0006577869238417542,0.00037696097755763865,0.1500193738937378,0.017734086928821367
Ver,1.0,0.0006342617492524781,4.836178141844588e-16,1.0,0.0006342617492524781,4.836178141844588e-16,1.0004811341201831,0.0005079745393150009,0.00014448763416549494,1.0004811341201831,0.0005079745393150009,0.00014448763416549494,0.17114093959731544,-0.7500000064529909,1.7696886499410288e-17,0.1710181650691977,-0.7500923682225279,5.719765666822602e-05,1.0008378866537813,0.0006083946598063098,0.00042930615230182633,1.0008378866537813,0.0006083946598063098,0.00042930615230182633,0.12235502243041992,0.030663096067358838
HighestScatter,0.9999999999999999,0.0006342617492523671,6.257296758382575e-16,0.9999999999999999,0.0006342617492523671,6.257296758382575e-16,1.0005971985475406,0.0006240420803922147,0.00017703954744851204,1.0005971985475406,0.0006240420803922147,0.00017703954744851204,0.46164965665943936,-0.32562944052196174,0.099893011408278,0.29855829125317934,-0.5637188863275364,0.0804254400367597,1.0009657719640046,0.00048069415287321646,0.00043258769187700416,1.0009657719640046,0.00048069415287321646,0.00043258769187700416,0.1095365333557129,0.035365380530455785
MostValuableMargin,1.0,0.0006342617492524781,5.972251029343366e-16,1.0,0.0006342617492524781,5.972251029343366e-16,1.0006481892977703,0.000675034198576893,0.00017970793783469495,1.0006481892977703,0.000675034198576893,0.00017970793783469495,0.3848573017737277,-0.43780650505753993,0.11755670798499321,0.25160926525980987,-0.6323251650553812,0.09027037892319417,1.000941540886683,0.0005048902145795187,0.0004453538656146409,1.000941540886683,0.0005048902145795187,0.0004453538656146409,0.06977476119995117,0.0542188927791125
LargestMargin,1.0,0.0006342617492524781,6.069182359525626e-16,1.0,0.0006342617492524781,6.069182359525626e-16,1.0006027123479468,0.0006295560287200122,0.0002032526696310374,1.0006027123479468,0.0006295560287200122,0.0002032526696310374,0.4421753819601022,-0.35407715478964324,0.1091307366861788,0.27629461127740546,-0.5962526439850689,0.08953182345687866,1.0009634415009874,0.00048302124820707006,0.0004240162202568111,1.0009634415009874,0.00048302124820707006,0.0004240162202568111,0.031342663764953614,0.043869879112835526
VerHor,1.0,0.0006342617492524781,4.836178141844588e-16,1.0,0.0006342617492524781,4.836178141844588e-16,1.0004993482235993,0.0005261891313702507,0.0001615440087370498,1.0004993482235993,0.0005261891313702507,0.0001615440087370498,0.3974000868260557,-0.41948420187560326,0.00011155956199953127,0.17104797537629857,-0.7500488066321722,7.296092330873943e-05,1.0009302801969326,0.0005161346318392936,0.0003608396016820523,1.0009302801969326,0.0005161346318392936,0.0003608396016820523,0.050524749755859376,0.04677564161204522
HorVer,1.0,0.0006342617492524781,6.19796004536069e-16,1.0,0.0006342617492524781,6.19796004536069e-16,1.0004756385314255,0.0005024788031244101,0.00019423322195036614,1.0004756385314255,0.0005024788031244101,0.00019423322195036614,0.5781258045290582,-0.15548291518266802,0.00013154753370301395,0.30401697742770817,-0.5557421469329759,0.00015297235153894362,1.0008967026382085,0.0005496636686235702,0.0004158367955361129,1.0008967026382085,0.0005496636686235702,0.0004158367955361129,0.04300023555755615,0.03847275456228511
SmallestPiece,0.9999999999999999,0.0006342617492523671,6.068684973894409e-16,0.9999999999999999,0.0006342617492523671,6.068684973894409e-16,1.0005484951522687,0.0005753373785294638,0.0002168689264997294,1.0005484951522687,0.0005753373785294638,0.0002168689264997294,0.4301234810290798,-0.3716823821658289,0.1301722772171343,0.29408318497308783,-0.5702583273977739,0.049419598756986226,1.0010283845456553,0.00041817205081766314,0.0003971509960320642,1.0010283845456553,0.00041817205081766314,0.0003971509960320642,0.018190221786499025,0.01773135840972619
SquarePiece,1.0,0.0006342617492524781,6.19796004536069e-16,1.0,0.0006342617492524781,6.19796004536069e-16,1.0004756351013333,0.0005024753729401789,0.0002002235827117182,1.0004756351013333,0.0005024753729401789,0.0002002235827117182,0.5247644942493899,-0.23343227818702,0.00012862303982220022,0.36476496416157395,-0.46697154473544344,0.0001282160349912086,1.0008834417574146,0.0005629053865097182,0.00040469203554186856,1.0008834417574146,0.0005629053865097182,0.00040469203554186856,0.022077503204345702,0.02518309740791399
SmallestHalfCut,1.0,0.0006342617492524781,4.836178141844588e-16,1.0,0.0006342617492524781,4.836178141844588e-16,1.0004991055631363,0.0005259464643972175,0.00016134520463420056,1.0004991055631363,0.0005259464643972175,0.00016134520463420056,0.3974000868260557,-0.41948420187560326,0.00011155956199953233,0.17104797537629857,-0.7500488066321722,7.296092330873943e-05,1.0009465789900636,0.0004998593916136479,0.00043163250826889067,1.0009465789900636,0.0004998593916136479,0.00043163250826889067,0.025624833106994628,0.0223522285837433
Summary,Hor,Hor, ,Hor,Hor, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,HorVer,HorVer, ,SquarePiece,SquarePiece, ,Hor,SmallestPiece, ,Hor,SmallestPiece, ,SmallestPiece, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,0.9999999999999999,0.0011978453000118876,3.522564414610976e-16,0.9999999999999999,0.0011978453000118876,3.522564414610976e-16,1.0009479055465595,0.0009395221855719369,0.00015711631533819518,1.0009479055465595,0.0009395221855719369,0.00015711631533819518,0.1825980392156863,-0.7500001896395995,1.3078762281492107e-17,0.18210510851868011,-0.7502760999684925,9.012846599804382e-05,1.0025520774377301,0.00015480047852568736,0.0006027998420707322,1.0025520774377301,0.00015480047852568736,0.0006027998420707322,0.354401159286499,0.050661836163030965
Ver,1.0,0.0011978453000119987,3.8107060155469308e-16,1.0,0.0011978453000119987,3.8107060155469308e-16,1.0010124383238215,0.0010040544223446299,0.0001314534598249139,1.0010124383238215,0.0010040544223446299,0.0001314534598249139,0.08557046979865772,-0.882843204045331,8.072619188790293e-18,0.08541981492671777,-0.8828623233198238,4.410845282993285e-05,1.002461788331232,0.0002448458055794691,0.0006140893066911464,1.002461788331232,0.0002448458055794691,0.0006140893066911464,0.2898649263381958,0.05628398759166673
HighestScatter,1.0,0.0011978453000119987,3.4603152453359856e-16,1.0,0.0011978453000119987,3.4603152453359856e-16,1.0011219864479095,0.001113601628920907,0.00015185824148909326,1.0011219864479095,0.001113601628920907,0.00015185824148909326,0.32888033754050894,-0.5497212217088882,0.05310170738742381,0.13166327914249004,-0.8194478571971148,0.03749092256173754,1.0026167149956273,9.033744121645809e-05,0.0006028999864609064,1.0026167149956273,9.033744121645809e-05,0.0006028999864609064,0.43785169124603274,0.056293918973707294
MostValuableMargin,1.0,0.0011978453000119987,3.3767232520408147e-16,1.0,0.0011978453000119987,3.3767232520408147e-16,1.001167148493867,0.0011587632966271113,0.00014710254081394677,1.001167148493867,0.0011587632966271113,0.00014710254081394677,0.29279409099480014,-0.5991278573540252,0.08618119236647255,0.10926725119448391,-0.8501599195323514,0.031129635274212534,1.0026831249618082,2.4106781103459558e-05,0.0007110516902647817,1.0026831249618082,2.4106781103459558e-05,0.0007110516902647817,0.5705633544921875,0.14591238541645254
