tlvGardens02_2020-05-31T02-21-23_NoiseProportion_0.2_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0274949462946688,0.08103016716306603,0.019890369505688458,1.0277765794979554,0.08132647420567055,0.019582401006376506,1.0632018424572027,0.05805735424748502,0.03487689011972138,1.0647463326743551,0.0595943711783856,0.03373267501992864,0.3423507462686567,-0.49779172460246096,2.459629709314082e-17,0.06895436155327268,-0.8818366267808406,0.008720015844317258,1.0239313843135516,0.15037411981344734,0.035922940036111704,1.022351880993421,0.1516847417156398,0.03196213326166039,0.03680694580078125,0.008809155068265094
Ver,1.0271729369494618,0.08069138027410615,0.019350009622900458,1.0271729369494618,0.08069138027410615,0.019350009622900458,1.0679628809901653,0.06279535566216891,0.037329946495257706,1.0679628809901653,0.06279535566216891,0.037329946495257706,0.18256130790190736,-0.7321933701181771,1.4063470904465453e-17,0.07345767358922675,-0.8741195436429502,0.005288207025783581,1.021999047793949,0.15197751154597508,0.030944715338392013,1.021999047793949,0.15197751154597508,0.030944715338392013,0.027450356483459473,0.003818009379811084
HighestScatter,1.0329853018305317,0.08680658483219633,0.025660279829722077,1.0335599189047455,0.08741114098503404,0.026204624069871178,1.0741192854745896,0.06892197130592374,0.04063854550335335,1.074357805297285,0.0691593370087084,0.04093593482666604,0.4527747321367695,-0.3358062751481499,0.1412227965447713,0.10303364201700697,-0.8234368004933401,0.1071707966474469,1.0215153201793266,0.15237889342237843,0.03294133961771826,1.0209643835189384,0.15283604323942712,0.03306851706708045,0.021219878196716307,0.005034420240212512
MostValuableMargin,1.0393707495022748,0.09352473131932837,0.025362155839675528,1.0400733447383883,0.09426393363685093,0.025741909086794426,1.0801975311881937,0.07497080636375143,0.03985691125474886,1.0807977673184677,0.07556813814644815,0.039813908041747205,0.47913545610374453,-0.2971366538139634,0.190369482805847,0.2168902395559308,-0.628326885393025,0.20622716739916896,1.0141555743440396,0.15848577775960096,0.024298949301569533,1.013282554410339,0.15921018209074472,0.023800944049646767,0.006383023262023926,0.009137766395700584
LargestMargin,1.034606212890761,0.08851194967191159,0.026236177734739605,1.034606212890761,0.08851194967191159,0.026236177734739605,1.0764507807952177,0.07124218527835532,0.04117021350648242,1.0764507807952177,0.07124218527835532,0.04117021350648242,0.4714601465438083,-0.30839587851041833,0.1372292261482727,0.13439592375021173,-0.7696929485024546,0.13762198062767217,1.0163491652934753,0.15666560536354432,0.027701713666082126,1.0163491652934753,0.15666560536354432,0.027701713666082126,0.002133946418762207,0.006282490261547335
VerHor,1.0307076410546157,0.08441025186899441,0.02624206987341065,1.0308356192165153,0.08454489803367925,0.02626255223374665,1.066754477451524,0.061592799195559385,0.03560289026109889,1.0671161937591023,0.061952765275471215,0.035396874770693136,0.7451459062731275,0.09308492704525621,0.0014561725465460347,0.5277301364841429,-0.0956573061995959,0.01031150618133048,1.0237291340587382,0.15054194067859147,0.0323168960561121,1.0234070507854258,0.15080919519268654,0.03204625991931297,0.0002936840057373047,5.129586355730826e-05
HorVer,1.0277250935634021,0.08127230571692284,0.020891435806028515,1.0278855754471208,0.0814411491338259,0.020726010388329667,1.0637512104833617,0.058604064060292144,0.036609546637945224,1.0647038474621122,0.0595520915382784,0.03581684593035619,0.6832343749455382,0.0022643761507949328,0.008864808274716031,0.5860887073176846,0.004348631504764432,0.01665614271872703,1.0208193170964768,0.15295641476896282,0.031159854891479564,1.0208193170964768,0.15295641476896282,0.031159854891479564,0.011068038940429688,0.00885649036203815
SmallestPiece,1.025157082135773,0.07857049406042978,0.017030299257978356,1.0252297676690811,0.07864696670343971,0.017099296489625205,1.062645385957777,0.057503590260229706,0.036029276253067365,1.0643762448587464,0.059226074097450086,0.03587784250241637,0.5640348177129073,-0.17259431692467697,0.00817430702726985,0.31397768974181267,-0.4619533543677579,0.029733733446008947,1.0246500167113706,0.14977782137696874,0.036309340364011566,1.0240360780070683,0.15028724829757542,0.03577831946567703,0.0003953409194946289,6.109495378922373e-05
SquarePiece,1.0277250935634021,0.08127230571692284,0.020891435806028515,1.0278855754471208,0.0814411491338259,0.020726010388329667,1.0637512104833617,0.058604064060292144,0.036609546637945224,1.0647038474621122,0.0595520915382784,0.03581684593035619,0.6832343749455382,0.0022643761507949328,0.008864808274716031,0.5860887073176846,0.004348631504764432,0.01665614271872703,1.0208193170964768,0.15295641476896282,0.031159854891479564,1.0208193170964768,0.15295641476896282,0.031159854891479564,0.0006860160827636719,0.00010243931997104346
SmallestHalfCut,1.0276553371158812,0.08119891477286399,0.019600956360603296,1.027907626296236,0.08146434889085749,0.019602092544135318,1.0628401938123049,0.057697455502855814,0.031966823621393026,1.0632740805334084,0.05812924278711499,0.03169500011036621,0.43407512874327375,-0.36323748618893403,0.004854341939897427,0.07762961234550587,-0.8669703170356552,0.005561406874897299,1.0217237196677278,0.15220597011767667,0.02783736629713927,1.0212054799028052,0.15263598908492929,0.027581545144148623,0.0003499126434326172,5.75609311951322e-05
Summary,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,VerHor,VerHor, ,HorVer,HorVer, ,MostValuableMargin,SmallestPiece, ,MostValuableMargin,SmallestPiece, ,VerHor, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0371350295541124,0.1253750988747373,0.021180367791407598,1.0384879598195949,0.12684313725730212,0.022270090169255553,1.1177875711497858,0.11273004168005925,0.029091207911439744,1.1195081794264137,0.11444286491121922,0.030165100266451216,0.17117537313432835,-0.728322345689638,1.0278667914282463e-17,0.029138500402987617,-0.7132151183422732,0.002746713413156803,1.0999701520816736,0.27243261630471816,0.059645504787026196,1.0985154658698086,0.2733948080871599,0.059394038055049635,0.07867908477783203,0.0115003466474137
Ver,1.0336325974761382,0.12157467777841505,0.0207696002154313,1.034481492889609,0.12249579772195757,0.021162061185987777,1.11324020267612,0.10820324818026038,0.030048519213014317,1.1151674620514922,0.11012178749885417,0.029834177412231246,0.09128065395095368,-0.855125690715742,9.449881581860145e-18,0.02847495490856573,-0.7197458187373007,0.0030920618744890646,1.0721156853598015,0.29085675394036825,0.05839568482113366,1.0661944489158084,0.2947733134030448,0.056613968055133974,0.059853248596191407,0.010303315652761677
HighestScatter,1.0425019499453174,0.13119864006638118,0.025512094727588582,1.045078059042584,0.1339939260681422,0.02585829910219459,1.144164268395892,0.1389873952090949,0.03219755713274163,1.145576981974868,0.1403937168395985,0.033094196739311056,0.41026282220175747,-0.3488593648394977,0.055072671702396186,0.09870160529072097,-0.02856606203987081,0.049199348375118884,1.0821566748045375,0.2842152133438412,0.05935358683670109,1.0788612521521321,0.2863949470692002,0.06005514067363245,0.08773946762084961,0.012431699481272708
MostValuableMargin,1.0522207335306009,0.14174430357842427,0.02218789194648148,1.0523812735640294,0.14191850245402363,0.02204015170558031,1.1517853474890813,0.14657399205082638,0.03173134537942588,1.1519896404370369,0.14677736065713473,0.031533450609335864,0.3584569204820527,-0.43108209116355656,0.09666704451996938,0.08226760435738255,-0.19031162024118434,0.04773896741787562,1.0647031303644483,0.29575973538423755,0.043024754768018106,1.0645319274405014,0.2958729763328408,0.04287707856485741,0.03669708251953125,0.028446103703986318
LargestMargin,1.0474144637710756,0.13652911350990468,0.02379528796747638,1.0491698552379476,0.13843385473385525,0.02648430406977071,1.1457033004651735,0.14051946379063865,0.03276125090188781,1.1469852542013137,0.14179561721286701,0.03312070070638877,0.41496449516443457,-0.3413971963134669,0.08681028317999545,0.09819782769615663,-0.03352430614443478,0.048777493474494615,1.078129938121914,0.2868786694998666,0.05499272371535219,1.075917288410233,0.28834221081388794,0.05581739335038648,0.01985485076904297,0.023001088378259038
