tlvGardens06_2020-05-31T00-05-07_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0,0.15141893182532334,3.993591770236803e-16,1.0,0.15141893182532334,3.993591770236803e-16,1.1270310598817053,0.11886149459968764,0.054278620027686485,1.1270310598817053,0.11886149459968764,0.054278620027686485,0.3423507462686567,-0.49779172460246096,2.5696669785706156e-17,0.08714708243082063,-0.8506607414778513,0.0142279299331561,1.244357651073729,0.09993078105809894,0.1171616577397246,1.244357651073729,0.09993078105809894,0.1171616577397246,0.024057445526123048,0.006493735493624007
Ver,0.9999999999999998,0.15141893182532307,3.8953820254194654e-16,0.9999999999999998,0.15141893182532307,3.8953820254194654e-16,1.085661649217773,0.07779196041044026,0.02828260096386251,1.085661649217773,0.07779196041044026,0.02828260096386251,0.18256130790190736,-0.7321933701181771,1.419698786306573e-17,0.08142875874013378,-0.86045992460753,0.006990849584594685,1.1123514411205944,0.19541355981184064,0.05388756742723478,1.1123514411205944,0.19541355981184064,0.05388756742723478,0.01926244258880615,0.0046377629692271214
HighestScatter,1.0,0.15141893182532334,4.204872026393485e-16,1.0,0.15141893182532334,4.204872026393485e-16,1.123766375361153,0.11562047495782891,0.04906883486950088,1.123766375361153,0.11562047495782891,0.04906883486950088,0.3765782518612976,-0.44758200038777896,0.11847183657908492,0.13954266427071899,-0.7608732566470378,0.048642453543678354,1.1885454100609631,0.14030091108656045,0.09695320599192445,1.1885454100609631,0.14030091108656045,0.09695320599192445,0.018478250503540038,0.0044051468470169925
MostValuableMargin,0.9999999999999999,0.1514189318253232,4.444798818299379e-16,0.9999999999999999,0.1514189318253232,4.444798818299379e-16,1.128592109375508,0.12041122843751423,0.05081068941626126,1.128592109375508,0.12041122843751423,0.05081068941626126,0.40476861499277117,-0.4062284067257462,0.10526015103257504,0.12102023166535512,-0.7926141511687484,0.04330780459847341,1.1909687109348817,0.13854808823617898,0.11565751038191871,1.1909687109348817,0.13854808823617898,0.11565751038191871,0.00814333438873291,0.007492095594721737
LargestMargin,0.9999999999999999,0.1514189318253232,4.3310025285090355e-16,0.9999999999999999,0.1514189318253232,4.3310025285090355e-16,1.1134619255080993,0.10539071947546855,0.046701902786607505,1.1134619255080993,0.10539071947546855,0.046701902786607505,0.4011303199082987,-0.411565570204065,0.10927268238090246,0.14181708494062842,-0.756975704520937,0.05715752415906308,1.2230305630308693,0.11535709796986322,0.1481298679503063,1.2230305630308693,0.11535709796986322,0.1481298679503063,0.005033469200134278,0.0061440719556701785
VerHor,0.9999999999999998,0.15141893182532307,3.8953820254194654e-16,0.9999999999999998,0.15141893182532307,3.8953820254194654e-16,1.0975660446642626,0.08961006388219635,0.03653683330274446,1.0975660446642626,0.08961006388219635,0.03653683330274446,0.4628361058809764,-0.32104683556380326,0.008465412714881182,0.19940173912723344,-0.6582959860655482,0.019294884876912576,1.1570613094920539,0.16307400191273433,0.06639446294157561,1.1570613094920539,0.16307400191273433,0.06639446294157561,0.005480194091796875,0.007228879945286061
HorVer,1.0,0.15141893182532334,3.993591770236803e-16,1.0,0.15141893182532334,3.993591770236803e-16,1.1113755018847868,0.10331941981333458,0.04890899426730075,1.1113755018847868,0.10331941981333458,0.04890899426730075,0.4677311594767318,-0.3138660817576653,0.00891091882420371,0.19099473450999002,-0.6727026167973119,0.031107226165277148,1.2415692043657118,0.10194772132312689,0.14462826244157756,1.2415692043657118,0.10194772132312689,0.14462826244157756,0.003711352348327637,0.0055937826100979915
SmallestPiece,1.0,0.15141893182532334,3.993591770236803e-16,1.0,0.15141893182532334,3.993591770236803e-16,1.129019619474534,0.1208356396231323,0.05504671678930077,1.129019619474534,0.1208356396231323,0.05504671678930077,0.35184731671004965,-0.4838608180233336,0.032538036783175725,0.08576230029660975,-0.8530337679908381,0.01433692725300473,1.208332109956936,0.12598878827730323,0.11988981344311735,1.208332109956936,0.12598878827730323,0.11988981344311735,0.005410299301147461,0.004356282621404256
SquarePiece,1.0,0.15141893182532334,3.993591770236803e-16,1.0,0.15141893182532334,3.993591770236803e-16,1.123594948434211,0.11545029066165409,0.055083270708382356,1.123594948434211,0.11545029066165409,0.055083270708382356,0.4022992224479256,-0.40985085938502347,0.058245449970324596,0.08674456046194841,-0.8513505216826904,0.014551150541713144,1.1447537136958161,0.1719763364833569,0.10555516625205387,1.1447537136958161,0.1719763364833569,0.10555516625205387,0.0008963680267333984,0.00018367851864334897
SmallestHalfCut,0.9999999999999998,0.15141893182532307,4.337734720996187e-16,0.9999999999999998,0.15141893182532307,4.337734720996187e-16,1.1140674281436793,0.10599183297441703,0.04997792153165168,1.1140674281436793,0.10599183297441703,0.04997792153165168,0.5115285694690754,-0.24961787438886016,0.021669181655183632,0.1567088597960635,-0.7314564725173313,0.034078159348238386,1.2427127850195323,0.10112054615769668,0.12480918672376372,1.2427127850195323,0.10112054615769668,0.12480918672376372,0.0011792850494384765,0.0007698605860875119
Summary,Hor,Hor, ,Hor,Hor, ,SmallestPiece,SmallestPiece, ,SmallestPiece,SmallestPiece, ,SmallestHalfCut,SmallestHalfCut, ,VerHor,VerHor, ,Ver,Hor, ,Ver,Hor, ,SquarePiece, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,0.9999999999999999,0.34634169378648433,4.91562743940155e-16,0.9999999999999999,0.34634169378648433,4.91562743940155e-16,1.181688945140749,0.18115124131553922,0.04297446020840765,1.181688945140749,0.18115124131553922,0.04297446020840765,0.17117537313432835,-0.728322345689638,1.2588745812754728e-17,0.026434684826450505,-0.7398264202081033,0.004069889845583086,1.300502998623805,0.2534903425158942,0.10546922531349337,1.300502998623805,0.2534903425158942,0.10546922531349337,0.052928619384765625,0.009856896837204351
Ver,0.9999999999999998,0.34634169378648416,4.099457847274849e-16,0.9999999999999998,0.34634169378648416,4.099457847274849e-16,1.1261614649220784,0.125649027761705,0.023155399570376007,1.1261614649220784,0.125649027761705,0.023155399570376007,0.09128065395095368,-0.855125690715742,9.48309743675879e-18,0.029439635738191007,-0.7102513055078827,0.0014640845121382247,1.1641113724427739,0.33178133165766893,0.04951745955093912,1.1641113724427739,0.33178133165766893,0.04951745955093912,0.041623497009277345,0.00806756391666183
HighestScatter,0.9999999999999998,0.34634169378648416,4.155042948368081e-16,0.9999999999999998,0.34634169378648416,4.155042948368081e-16,1.1616398303706073,0.16111124949247102,0.042499462604100154,1.1616398303706073,0.16111124949247102,0.042499462604100154,0.2644160822933175,-0.5803371730172219,0.04863368199791824,0.06560775626767923,-0.35427999530386933,0.01535429811254125,1.415064858287075,0.18772999078393435,0.20620310638794603,1.415064858287075,0.18772999078393435,0.20620310638794603,0.06699413299560547,0.01115350528241441
MostValuableMargin,0.9999999999999999,0.34634169378648433,3.632603977879128e-16,0.9999999999999999,0.34634169378648433,3.632603977879128e-16,1.1630235904892463,0.1624943799588551,0.040032910394432686,1.1630235904892463,0.1624943799588551,0.040032910394432686,0.24389265719348746,-0.612910526808954,0.06965566340793408,0.053064067901728545,-0.4777365951229777,0.020479451874810786,1.3533611324032078,0.22314892278470813,0.1909565918337267,1.3533611324032078,0.22314892278470813,0.1909565918337267,0.052256441116333006,0.021599483106487773
LargestMargin,0.9999999999999999,0.34634169378648433,4.4056899220198365e-16,0.9999999999999999,0.34634169378648433,4.4056899220198365e-16,1.147880988163663,0.1473586679703842,0.030560713945075646,1.147880988163663,0.1473586679703842,0.030560713945075646,0.2669182649910425,-0.5763658825592164,0.05373971498080586,0.06413160832885925,-0.36880843383327216,0.020705291924507787,1.3650067012459393,0.2164641787916573,0.15094231252727314,1.3650067012459393,0.2164641787916573,0.15094231252727314,0.029951539039611817,0.020934954039106723
