tlvRealEstate02_2020-05-30T21-49-36_NoiseProportion_0.2_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0185050737121788,0.04790605022872639,0.012338892955555897,1.0188403438121798,0.04825099850175888,0.012209226853696676,1.0373166919331194,0.04096069884383872,0.014343300077779318,1.0383609168528807,0.042008592038538184,0.014175542011713548,0.30952380952380953,-0.6099587603146863,1.3317010687635424e-17,0.21716048061312118,-0.5985411450672928,0.008699146422191335,1.0186188283296638,0.08088579547740786,0.02267588442009235,1.0150535635321871,0.0841027844305952,0.021581894959995816,0.04634007453918457,0.01396161828720237
Ver,1.016442199146265,0.04578362708692985,0.012029736206893694,1.016896973433882,0.046251529250387155,0.012139732071486511,1.0331334266661134,0.0367627381153012,0.013969481592095736,1.0333066197608933,0.03693653962295944,0.013964461154936571,0.20192307692307693,-0.7455500196727465,9.449881581860145e-18,0.0942303897243447,-0.825798762961881,0.0027621798621897944,1.0171948833459246,0.08217064121618095,0.023128760805801788,1.0166943415195977,0.08262228719968304,0.02333643726617164,0.029065732955932618,0.006601539664144939
HighestScatter,1.0242093163723396,0.05377495608873243,0.012597156561929172,1.0242117647552436,0.05377747514860221,0.012596379194240098,1.0439665793477577,0.04763394675762153,0.012800268683333725,1.0441703885807292,0.04783847195540799,0.01273261900628037,0.5922850515063766,-0.25364192146628217,0.1568974884402044,0.3456143464824546,-0.3610718700040553,0.1372013853668712,1.0104080761115992,0.08829447356537674,0.015827389711510403,1.0096180775484647,0.08900730046464,0.015323447616125571,0.019136490821838378,0.004661376289697174
MostValuableMargin,1.0277061315264826,0.05737271308684187,0.013262343023388565,1.0278508231171812,0.0575215814599347,0.01314966954376651,1.0463570924928882,0.05003285757579515,0.011326747716984047,1.0466188548579323,0.05029553949016739,0.011151581086412241,0.48987633269295205,-0.3826905516896712,0.19435309762150035,0.2579373031461702,-0.5231581083577906,0.1865997666378279,1.006903684448049,0.09145653582713688,0.013811230229309227,1.0059764088387018,0.09229322975066856,0.013047409165302047,0.013828315734863282,0.012665022792943573
LargestMargin,1.025605217115413,0.055211152011501945,0.014744932875005418,1.025607665498317,0.05521367107137172,0.014744032214790365,1.0448799142198086,0.048550490098803856,0.013892349034058577,1.0450837234527801,0.04875501529659031,0.013816301245957854,0.6045555282393377,-0.2381794859146617,0.15752118509731503,0.35841016030254347,-0.3374165863647788,0.1764067816303215,1.00826807853127,0.09022542370984817,0.015318397670336227,1.0074780799681358,0.09093825060911122,0.014680084980865553,0.0013688850402832032,0.0044135950489042
VerHor,1.0167602712372412,0.04611088089954754,0.012867582022902892,1.0169571679168414,0.04631346135510776,0.012783323825971952,1.0352033671405094,0.038839950117719596,0.014962219427043144,1.035843820341066,0.03948265317688445,0.014453360949553568,0.7464277583985041,-0.0594015734389341,0.004223238961964749,0.5777448688920062,0.06806170650286165,0.009463855925038586,1.0171711443224791,0.08219206127346182,0.02353679501107285,1.016401978355026,0.08288609062640516,0.023455202506220425,0.010785408020019531,0.013343434052068866
HorVer,1.018043521241755,0.04743117421805283,0.010611762348702352,1.0182802815699366,0.0476747690579405,0.010535239907312663,1.0363717915258313,0.04001247908033,0.013475838121805493,1.0366671128243732,0.04030883781793094,0.013481861932769217,0.7917099509446482,-0.002339977616824853,0.01140264200979588,0.5417839185518714,0.001581645742809319,0.01021188975087856,1.0166357185563324,0.0826751835302336,0.0222945670544535,1.015810131414456,0.08342012250845181,0.02212704356627529,0.0011185550689697267,0.0035772263018047598
SmallestPiece,1.017404339618946,0.04677354147078024,0.01167640742184605,1.0174539648963357,0.04682459927084728,0.011616496723292943,1.0351827873772061,0.03881929805942649,0.01522561326445567,1.0355837666333583,0.03922168592221903,0.014763095236219423,0.5005190052516811,-0.36927936627954766,0.0030272522477037545,0.09471488751675206,-0.8249030846671558,0.0029589172839045537,1.0187533734245278,0.08076439353155819,0.025665846796658138,1.0187533734245278,0.08076439353155819,0.025665846796658138,0.0005152606964111328,6.195117294672987e-05
SquarePiece,1.018043521241755,0.04743117421805283,0.010611762348702352,1.0182802815699366,0.0476747690579405,0.010535239907312663,1.0363717915258313,0.04001247908033,0.013475838121805493,1.0366671128243732,0.04030883781793094,0.013481861932769217,0.7917099509446482,-0.002339977616824853,0.01140264200979588,0.5417839185518714,0.001581645742809319,0.01021188975087856,1.0166357185563324,0.0826751835302336,0.0222945670544535,1.015810131414456,0.08342012250845181,0.02212704356627529,0.0008579492568969727,0.00011862927310807446
SmallestHalfCut,1.016010578161706,0.04533954658816833,0.013125523117222704,1.0166550364577334,0.046002608329300206,0.013205739548247391,1.0331540064294167,0.03678339017359431,0.01357474387938574,1.033712833149519,0.03734418000529569,0.013635665546557537,0.44783183006989985,-0.43567222683213297,0.0030981448522057315,0.09740820069091786,-0.8199240276130223,0.0028086242019308327,1.015961167214476,0.08328384076563608,0.019922738994300287,1.0144141193227967,0.08467976400284032,0.019928139640790613,0.00046120166778564455,6.155590261595129e-05
Summary,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,MostValuableMargin,MostValuableMargin, ,HorVer,HorVer, ,VerHor,VerHor, ,MostValuableMargin,SmallestPiece, ,MostValuableMargin,SmallestPiece, ,SmallestHalfCut, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0247657465256343,0.05530511344337016,0.014773657851770943,1.0256781932544186,0.05624475228463247,0.015081331205430655,1.0733394610346223,0.07156519738902897,0.01779280425298161,1.0749489956035085,0.0731720713470129,0.01760670704351666,0.15476190476190477,-0.7535140212264607,3.9252311467094376e-18,0.08104394605655257,-0.8077042213617363,0.004125935752174175,1.0606387271114868,0.12712437363461013,0.04238187468570789,1.05642419849267,0.13059281129764275,0.04242846649951168,0.09253725051879882,0.021722687859866946
Ver,1.0236056428172686,0.05411043711884067,0.01305008643310783,1.0245111391676565,0.05504291845128994,0.012990180920674188,1.0644783753713492,0.06271875937705682,0.015345243100237235,1.0665336251215034,0.06477061173519606,0.014304964433940541,0.10096153846153846,-0.8392007150308716,3.4223965926370664e-18,0.04183891117449775,-0.9007273659149929,0.0015447268311336393,1.06150824621721,0.12640878404256128,0.04476758391219064,1.0592182881992072,0.12829335462085645,0.04414441472620011,0.06492174148559571,0.011409396793627145
HighestScatter,1.040093641032169,0.07108979936394118,0.021994387959977494,1.0410406105130163,0.07206498978067896,0.022228711248038564,1.0959096957869336,0.09409812283850807,0.021529394985902103,1.097476904786101,0.09566274119226159,0.020285769941626577,0.4970650178344915,-0.2083351673429387,0.07463008609197311,0.16838355907147196,-0.6004704956131286,0.06887018442168005,1.0504882646903584,0.13547791666228187,0.04798699900838347,1.045381454106985,0.13968067710535106,0.044534374968184506,0.08267971515655517,0.012307511302429835
MostValuableMargin,1.045469290737382,0.07662565049989596,0.020827573399436035,1.0459011406356806,0.07707037009309053,0.020572815381257426,1.0963523873082304,0.09454008257689644,0.021417701856516033,1.0969127131931495,0.09509948222563089,0.021049909454348092,0.4484792859805337,-0.2857166242904715,0.11653338022937076,0.12745699310855274,-0.6975783766057214,0.06982384704152282,1.0286442920621586,0.15345488733360088,0.028234267284155085,1.0269040441759265,0.154887062045779,0.027614476107253413,0.061633548736572265,0.044353285400511595
LargestMargin,1.041206789463941,0.07223612108288338,0.02292955415337458,1.0419108818007823,0.07296119629731566,0.02275263153885449,1.0950265653661677,0.09321645225990463,0.021934525596124917,1.0953125069427214,0.09350192116610337,0.021966552800542563,0.4857339510809661,-0.22638191523989595,0.09859311852300534,0.16931106660918388,-0.5982697663441872,0.08955997850064344,1.0452253744859483,0.1398091262120005,0.047815975968906445,1.044433581720843,0.14046074922757257,0.046905967518746323,0.018337793350219726,0.022628893540869666
