tlvRealEstate02_2020-05-30T21-49-36_NoiseProportion_0.2_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0370725994653576,0.040715748899622234,0.01530682510094977,1.0370725994653576,0.040715748899622234,0.01530682510094977,0.30952380952380953,-0.6099587603146863,1.3317010687635424e-17,0.20660982135195696,-0.61804587066844,0.01153073688427695,1.0598960030847966,0.043640815721618785,0.03135826268485992,1.0598960030847966,0.043640815721618785,0.03135826268485992,0.030903844833374022,0.004943513266967086
Ver,0.9999999999999999,0.028866794359098058,1.849616299753982e-16,0.9999999999999999,0.028866794359098058,1.849616299753982e-16,1.0325052984920808,0.03613240337944928,0.012914254470543075,1.0325052984920808,0.03613240337944928,0.012914254470543075,0.20192307692307693,-0.7455500196727465,6.844793185274133e-18,0.09414224426581198,-0.8259617151470584,0.0038773749710651517,1.0520799821473736,0.05069332218098934,0.02459909357986383,1.0520799821473736,0.05069332218098934,0.02459909357986383,0.02299182415008545,0.007734369089469522
HighestScatter,1.0000000000000002,0.0288667943590984,3.2348850668592437e-16,1.0000000000000002,0.0288667943590984,3.2348850668592437e-16,1.041707653655865,0.045367085648419764,0.012683311670721677,1.041707653655865,0.045367085648419764,0.012683311670721677,0.3997971744756761,-0.49620229282173156,0.10357383505133616,0.19287575049615874,-0.6434356853518777,0.06272962860024948,1.043190037481834,0.05871484523973354,0.021221313010294923,1.043190037481834,0.05871484523973354,0.021221313010294923,0.02170064449310303,0.006451678931653658
MostValuableMargin,1.0000000000000002,0.0288667943590984,3.185992302865037e-16,1.0000000000000002,0.0288667943590984,3.185992302865037e-16,1.040668390624669,0.04432417177298581,0.01304765501158549,1.040668390624669,0.04432417177298581,0.01304765501158549,0.380259109229446,-0.5208228582038138,0.12204639487910102,0.1711732838375569,-0.6835564632640403,0.055264634040432754,1.0468161760076826,0.05544292905874231,0.02084262126182074,1.0468161760076826,0.05544292905874231,0.02084262126182074,0.006728410720825195,0.006559323382821362
LargestMargin,1.0000000000000002,0.0288667943590984,3.4643838125794517e-16,1.0000000000000002,0.0288667943590984,3.4643838125794517e-16,1.041188994958415,0.04484660494627974,0.01263165587470231,1.041188994958415,0.04484660494627974,0.01263165587470231,0.4083820542757702,-0.4853842004593715,0.09854158374894838,0.20436117219041078,-0.6222028890862983,0.07434114092149814,1.0490690798395337,0.05341010200343135,0.020141196099317627,1.0490690798395337,0.05341010200343135,0.020141196099317627,0.0036341476440429686,0.0068808851241986
VerHor,0.9999999999999999,0.028866794359098058,1.849616299753982e-16,0.9999999999999999,0.028866794359098058,1.849616299753982e-16,1.033400039732383,0.037030287771007336,0.012798747369795844,1.033400039732383,0.037030287771007336,0.012798747369795844,0.40474172506059913,-0.4899715002930496,0.0031801653200041833,0.1754051621557491,-0.6757331013934121,0.0062452379788757294,1.0543154301192976,0.048676245795472535,0.022566563487021823,1.0543154301192976,0.048676245795472535,0.022566563487021823,0.007850046157836915,0.007330357823503973
HorVer,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0357926812040765,0.039431334392377414,0.011437805110197374,1.0357926812040765,0.039431334392377414,0.011437805110197374,0.5098515067717048,-0.35751917094001895,0.004597655686206177,0.35905975430214604,-0.3362156990646802,0.02051511889417249,1.0557698361412557,0.04736391463022504,0.02681260578996311,1.0557698361412557,0.04736391463022504,0.02681260578996311,0.008886342048645019,0.006786936183917485
SmallestPiece,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0358775530676967,0.03951650440376669,0.012310921685655002,1.0358775530676967,0.03951650440376669,0.012310921685655002,0.5239249706753925,-0.33978473133065307,0.006372967199672382,0.20660982135195696,-0.61804587066844,0.01153073688427695,1.0555546875079533,0.047558046291109546,0.025251014936686328,1.0555546875079533,0.047558046291109546,0.025251014936686328,0.004274373054504395,0.0037400884162395328
SquarePiece,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0000000000000004,0.02886679435909863,3.009285830208601e-16,1.0359144301701106,0.03955351105236175,0.011546984099843107,1.0359144301701106,0.03955351105236175,0.011546984099843107,0.5098515067717048,-0.35751917094001895,0.004597655686206172,0.3597132335613547,-0.33500762918758514,0.0208396092377361,1.0591182258925496,0.044342615104730705,0.024899071661962955,1.0591182258925496,0.044342615104730705,0.024899071661962955,0.003568110466003418,0.001340542958401801
SmallestHalfCut,0.9999999999999999,0.028866794359098058,1.849616299753982e-16,0.9999999999999999,0.028866794359098058,1.849616299753982e-16,1.0335955846154639,0.03722651958693214,0.01279930573629883,1.0335955846154639,0.03722651958693214,0.01279930573629883,0.40474172506059913,-0.4899715002930496,0.003180165320004187,0.17474819645775203,-0.6769476165579731,0.005961849987238698,1.0531213328985458,0.04975369664033238,0.026352915619909344,1.0531213328985458,0.04975369664033238,0.026352915619909344,0.004395155906677246,0.003189139283003997
Summary,Hor,Hor, ,Hor,Hor, ,HighestScatter,HighestScatter, ,HighestScatter,HighestScatter, ,SmallestPiece,SmallestPiece, ,SquarePiece,SquarePiece, ,HighestScatter,Hor, ,HighestScatter,Hor, ,SquarePiece, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
Hor,0.9999999999999998,0.029801315101793992,2.5518870015363515e-16,0.9999999999999998,0.029801315101793992,2.5518870015363515e-16,1.0699069363928744,0.06813834681769916,0.019180496130808824,1.0699069363928744,0.06813834681769916,0.019180496130808824,0.15476190476190477,-0.7535140212264607,0.0,0.07690184609027405,-0.8175323254579663,0.005447978137573695,1.1529681350728562,0.05113988641368036,0.04889557378315718,1.1529681350728562,0.05113988641368036,0.04889557378315718,0.06279626369476318,0.011840684439720948
Ver,1.0,0.02980131510179422,1.922177643408866e-16,1.0,0.02980131510179422,1.922177643408866e-16,1.062505721678578,0.06074936654243868,0.01586293389914528,1.062505721678578,0.06074936654243868,0.01586293389914528,0.10096153846153846,-0.8392007150308716,4.205604800045826e-18,0.041601819584100856,-0.9012899213457481,0.0016081277224018517,1.1244003411129002,0.07465037156689021,0.04360497225903779,1.1244003411129002,0.07465037156689021,0.04360497225903779,0.049326415061950686,0.006636661706272697
HighestScatter,0.9999999999999999,0.029801315101794106,2.4819261112362963e-16,0.9999999999999999,0.029801315101794106,2.4819261112362963e-16,1.0781231102707456,0.07634093910358891,0.015373021142077867,1.0781231102707456,0.07634093910358891,0.015373021142077867,0.25269137154495647,-0.5975438520305785,0.05457478631297963,0.0730661486673616,-0.8266334176239998,0.020588161200331596,1.1393037868082254,0.062385257948290314,0.04463519826975337,1.1393037868082254,0.062385257948290314,0.04463519826975337,0.07850762367248536,0.015721553858972514
MostValuableMargin,0.9999999999999999,0.029801315101794106,2.4525628233156872e-16,0.9999999999999999,0.029801315101794106,2.4525628233156872e-16,1.0770737570101407,0.07529332045669133,0.016312280305459764,1.0770737570101407,0.07529332045669133,0.016312280305459764,0.2262776580586591,-0.6396124090939602,0.058412072982538414,0.06888982912163832,-0.836542715701942,0.0184156120631892,1.1379442877281394,0.06350408717896061,0.04584919569103472,1.1379442877281394,0.06350408717896061,0.04584919569103472,0.04411043643951416,0.019721545768299726
LargestMargin,0.9999999999999999,0.029801315101794106,2.46361506927474e-16,0.9999999999999999,0.029801315101794106,2.46361506927474e-16,1.076372478579982,0.07459320126167601,0.01720069481894707,1.076372478579982,0.07459320126167601,0.01720069481894707,0.24081008801350318,-0.6164669184327508,0.049609564391442595,0.07234868355241006,-0.8283357719593764,0.019368245749005177,1.1533957021493257,0.05078801082197635,0.0494743368340648,1.1533957021493257,0.05078801082197635,0.0494743368340648,0.032780513763427735,0.024786406512179195
